<page title>|actual weight|attributes|brightness lumens|brightness nitscdm2|color|color support|compatibility notes|compliant standards|connector|connector type|contents|contrast ratio|diagonal size|digital video standard|display position adjustments|display size|display technology|display type|dot pitch|energy star qualified|energy star version|form factor|horizontal frequency khz|image aspect ratio|image brightness|image size max|image size min|internal resolution max|lamp type|native resolution|os notes|physical dimensions|portsconnectors|power notes|product type|projector type|refurbished type|resolution modes|response timerate|returns policy|screen distance min|speakers included|system requirements|target use|vertical frequency hz|viewing angle hv degrees|warranty  labor|warranty  parts|warranty details|weight
"Buy Planar 55"" LX55HD-L Full HD LED-LCD Monitor, Black Monitors - Large-Format LED-LCD 997-7115 today at PC Connection"|60.00 lb(s)|||450 cd/m2|Black||"The ultimate video wall tiling solution:
For an immersive, flexible video wall solution that can be configured in many ways and appears nearly seamless, the Clarity Matrix LCD Video Wall System is the ultimate display solution for control room or digital signage applications. Optimized for 24x7 operation, the Clarity Matrix delivers outstanding visual performance and requires minimal installation space. The Clarity Matrix utilizes cutting-edge ultra-narrow bezel LCD's that when tiled result in image-to-image gaps as small as 5.7mm. Featuring a unique mounting system and mission-critical off-board electronics design, the Clarity Matrix is the slimmest and most reliable LCD video wall available.
Unique Architecture & Benefits by Design:
The Clarity Matrix Video Wall System was architected and developed by video wall industry experts in a way that specifically addresses the challenges faced by all video wall installations: mounting and alignment, reliability and extended operation, service and maintenance access and simple, effective image processing and management. At the heart of the Clarity Matrix architecture is a distributed design that takes heat, complexity and unreliability out from behind the LCD panel and replaces it with a centrally located, easily accessible and highly reliable rackmounted system.
EasyAxis Mounting System:
The Clarity Matrix Video Wall System includes the EasyAxis mounting system. The EasyAxis mounting system is designed to be attached to a wall, used with optional free-standing bases or secured overhead in a flying configuration. The single mount supports all these configurations. When used in wall-mount
configuration, horizontal and vertical connection brackets ensure that each mount is perfectly spaced from its neighbor in the video wall. The mount system also incorporates a service mode to accommodate front and rear in-wall repair of any LCD module in the video wall. EasyAxis mounts are designed to facilitate the thinnest profile LCD video wall in the market. The combination of the mount plus the Clarity Matrix LCD Modules “blade” design result in video walls that measure a mere 3.6 inches in depth, screen-to-wall, as opposed to other designs that require 60% more clearance.
Precise Panel Alignment:
Clarity Matrix LCD modules incorporate a single simple interface board designed to distribute off-board power, video and control signals to the LCD panel keeping depth, weight, heat and points of potential failure to an unprecedented minimum. The LCD blade-style module incorporates a bracket that is perfectly paired with the EasyAxis mount. The LCD module includes EasyAxis adjustment cams that facilitate precise 6-axis alignment ensuring uniform, minimized image-to-image gap. The lighter design of the Clarity Matrix LCD module means that handling, installation, alignment and service are all easier to accomplish.
24x7 Operation & Simplified Maintenance:
The unique Clarity Matrix architecture provides for 24x7 operation with optimized thermal design, high-MTBF components and redundant power supply option. Because of the streamlined design of the Clarity Matrix LCD modules, fewer repairs are required at the panel itself. When the panels do need to be accessed or removed, this can be accomplished without removing other panels in the wall. Starting at the top of the wall, panels can be pulled up and out into Service Mode, allowing the panel below to be accessed. Also built into each Clarity Matrix LCD display are service and troubleshooting aids that minimize downtime in the event of a failure. Power, backlight and fan monitoring are all built into Clarity Matrix to provide failure notification. Clarity WallNet enables health and status monitoring over a customer network to proactively provide health status or send an email or text message to a service technician alerting them of a failure.
Redundant Power Supply:
The rack-mount video processing and power supply units each support 4 LCD modules, incorporate their own cooling and make configuration, maintenance and upgrades easily accessible and unobtrusive to the video wall itself. For even further reliability, the Clarity Matrix power supply unit includes an n+1 redundant design so if any one power supply in the unit fails, the remaining 4 will continue to power 4 LCD’s with uninterrupted operation.
Flexible Video Processing:
Clarity Matrix supports a wide range of processing options to display sources on the video wall. Planar’s Big Picture Plus processing is built into Clarity Matrix and allows sources to be scaled across the entire video wall or any section of the video wall. To simplify the set-up process of Big Picture Plus, Clarity Matrix has position sensors built in the LCD that determine where it is located within the array and scale the sources across the video wall automatically. Big Picture Plus processing also allows for ultra-high resolution dual link DVI signals to be input and spread over multiple displays at native resolution. For more complex configurations, Clarity Matrix supports all leading image processing and digital signage software solutions including Planar’s Indisys image processing."|['FCC Class A certified', 'RoHS']|['DVI (Dual Link)', 'Power', 'DVI']|['Power', 'DVI']|Monitor, documentation|3500:1||Digital Visual Interface (DVI)||55 in|['LCD', 'LED-backlit']|Widescreen||||||||||1920 x 1080|||||"(4) DVI
(2) Dual-Link DVI (in, out)
(1) Power in"|Supply: 100-240VAC, 50/60Hz||||||This product is subject to our return policy. Please see our complete return policy for details.||||||178/178|Call for Warranty|Call for Warranty||
"Buy Acer 22"" V226HQL ABMDP Full HD LED-LCD Monitor Monitors - LED-LCD UM.WV6AA.A03 today at PC Connection"|7.10 lb(s)|['Speakers Included', 'Dual speakers']|||Black|16.7 million colors|"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|TCO Displays 6.0|['DVI', 'Power', 'HDDB15']|['Power', 'DVI', 'VGA']|Monitor, VGA cable, DisplayPort cable, DVI cable, power cord, documentation|100,000,000:1||Digital Visual Interface (DVI)||21.5 in|['LCD', 'LED-backlit']|Widescreen|||||||250 cd/m2|||1920 x 1080||||"15.4""h x 20""w x 8.1""d"|"(1) DVI
(1) HDDB15 VGA
(1) Power in"|"Supply: 110-220VAC
Consumption: 19.5W (typ.); 0.4W (standby); 0.3W (off mode)"|||||8 ms|||||||178/178|3 Years|3 Years|limited|
"Buy GVision 8.4"" K08AS-CA-0010 LCD Open-Frame Display, Black Monitors - LCD K08AS-CA-0010 today at PC Connection"||||||||['Plug and Play', 'VESA DPMS', 'DDC-2B', 'CUL', 'DDC-1', 'IP54']||||||||8.4 in|||0.213 mm||||||220 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Benq 24"" XL2420Z Full HD LED-LCD Monitor, Black Monitors - LED-LCD XL2420Z today at PC Connection"|||||['Black', 'Red']|||TCO Displays 5.1|||||||['Pivot (rotation)', 'Height', 'Swivel', 'Tilt']|24 in|||0.276 mm|Yes|||||350 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Eizo Nanao 24"" EV2436W LED-LCD Monitor, Black Monitors - LED-LCD EV2436WFS-BK today at PC Connection"||||300 cd/m2|Black|||['J-MOSS', 'TUV GS', 'VCCI Class B ITE', 'TUV Ergo', 'PSE Mark', 'ICES-003 Class B', 'Green Mark', 'GOST-R', 'DVI DMPM', 'CTUVus', 'WEEE', 'TUV S', 'CCC', 'C-Tick', 'CB', 'RoHS']|||||||['Tilt', 'Swivel', 'Pivot (rotation)', 'Height']|24.1 in|||0.27 mm|Yes|||||300 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy GVision 10.4"" P10PS-JA-400G LCD Monitor, Black Monitors - LCD P10PS-JA-400G today at PC Connection"|||||Black|||['DDC-2B', 'FCC', 'Plug and Play', 'CUL', 'VESA DPMS', 'DDC-1', 'BSMI']|||||||Tilt|10.4 in|||0.264 mm||||||220 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy LG 22"" LQ630H Full HD LED-LCD Hospital Grade TV, Black Televisions - LED-LCD Commercial 22LQ630H today at PC Connection"|||||Matte Black||||||||22 in|||||||Yes|5.3|||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.||2 speakers|Remote not included.||||2 Years|2 Years||
"Buy Open Box Acer 22"" B226HQL AYMDR Full HD LED-LCD Monitor with Monitors - LED-LCD UM.WB6AA.A01 today at PC Connection"||['Dual speakers', 'Speakers Included']||250 cd/m2|Black||"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|EPEAT Gold|['HDDB15', 'DVI', 'Power']|['VGA', 'Power', 'DVI']|Monitor, VGA cable, DVI cable, audio cable, documentation|100,000,000:1||Digital Visual Interface (DVI)||22 in|['LCD', 'LED-backlit']|Widescreen||Yes|||||250 cd/m2|||1920 x 1080|||||"(1) DVI
(1) HDDB15 VGA
(1) Power in"||||Open Box||8 ms|||||||178/178|90 Days|90 Days||
Buy Open Box Dell Flat Panel Monitor Stand for Latitude E5400, 5500, Stands & Mounts - AV 464-7185 today at PC Connection|||||||Latitude E5400, 5500, 6400, 6500||||Stand, documentation||||||||||||||||||||||||Monitor stand||Open Box|||Due to manufacturer restrictions, all sales on this item are final.||||Flat panel display|||90 Days|90 Days||
Buy ViewSonic Remote Control for PRO8400, PRO8520HD Projector Accessories A-00008988 today at PC Connection|||||Black||||||remote, documentation||||||||||||||||||||||||Remote control unit|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
Buy Dell MSA14 Single Monitor Arm Stand Stands & Mounts - AV 469-3992 today at PC Connection|9.20 lb(s)||||Black||"Improve viewing comfort for better productivity:
The Dell Single Monitor Arm lets you adjust your monitor any way you want, so you can achieve a more ergonomic and comfortable viewing experience. For business users in a collaborative work environment, adjustability can improve sharing of data. For gamers and other recreational users, the arm can be positioned to help relieve fatigue during extended computing sessions.
Optimized for use with Dell monitors:
The arm easily attaches to standard Dell Quick Release monitor panels without the need for screws or other hardware. Simply snap the monitor into place using the Quick Release slots behind the monitor panel. VESA-compliant monitors without Quick Release functionality can easily be mounted using the VESA adapter plate included in the box. The Dell Single Monitor Arm supports monitors that weigh up to 20.5 pounds.
Enjoy a more spacious and organized workspace:
Replacing your monitor stand with this monitor arm lets you reclaim the space directly in front of your monitor, giving you more work space to write, reference materials and maintain good posture. This ergonomic improvement can improve your comfort, productivity, and overall working experience.
In addition, built-in organization tools help you eliminate clutter for a more comfortable desk environment. Integrated cable management within the arm and a Behind Desk Cable Organizer helps you keep your cables in check and maintain a neat and clean desktop."||||monitor arm, VESA plate adapter, (2) allen wrenches, thumbscrew, screws and spacers, documentation||||||||||||||||||||||||Mounting arm|||||This product is subject to our return policy. Please see our complete return policy for details.||||Monitor|||3 Years|3 Years||
Buy Peerless Dedicated Wall Mount for Flat Panel Displays, Black Stands & Mounts - AV SF16D today at PC Connection|5.60 lb(s)||||Black||"Compatible with flat panel displays 22"" and up. Please see manufacturer's website for complete compatiblity listing.
Compatible with Peerless' PLP interface brackets."||||Wall plate, interface bracket, hardware, documentation|||||||||||||||||||||"9.8""h x 19.3""w x 1.2""d"|||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
Buy Videolarm Aluminum Pole Mount Bracket Stands & Mounts - AV APM3 today at PC Connection|||||Black||||||Pole mount assembly, documentation||||||||||||||||||||||||Bracket|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||5 Years|5 Years||
Buy Tripp Lite HDMI over Cat5 Cat6 Extender, Transmitter and Video Extenders & Splitters B126-1A1 today at PC Connection|0.00 lb(s)||||Black||||||Local Unit, Remote Unit, Screwdriver, (2) Mounting Hardware, (2) Power Supply Units, Documentation||||||||||||||||||||||"(3) HDMI (F)
(2) RJ-45 (F)"||AV Extender|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy Asus 28"" VN289Q Full HD LED-LCD Ultra Wide View Monitor, Black Monitors - LED-LCD VN289Q today at PC Connection"|||||Black|||['BSMI', 'C-Tick', 'CB', 'TCO Displays 6.0', 'RoHS', 'VCCI', 'WHQL', 'WEEE', 'PSE Mark', 'MEPS', 'FCC', 'CUL', 'CCC']|||||||Tilt|28 in|||0.32 mm|Yes|||||300 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy Acer 23"" S236HL tmjj Widescreen Full HD LED-LCD Monitor, Black Monitors - LED-LCD UM.VS6AA.001 today at PC Connection"||['Speakers Included', 'Dual speakers']||250 nit(s)|Black||"Kensington lock supported.
Energy Star compliant.
Ultra-Slim design."|MPRII|['HDMI', 'Power', 'HDDB15']|['HDMI', 'VGA', 'Power']|Monitor, power cord, VGA cable, HDMI cable, documentation|100,000,000:1||||23 in|['LED-backlit', 'LCD']|Widescreen|||||||250 cd/m2|||1920 x 1080|||||"(1) HDMI
(1) HDDB15 VGA
(1) Power in"||||||6 ms|||||||178/178|3 Years|3 Years||
Buy Acer K132 WXGA DLP Projector, 500 Lumens, White Projectors MR.JGN11.00J today at PC Connection|14.80 oz|['Keystone correction', 'Speaker Included', 'Single speaker', 'Remote control']|500 ANSI lumens||White|1.07 billion colors|"Built-in 2W speakers.
Lamp life of 30000 hours (eco mode) and 20000 hours (normal mode)."||['Power', 'USB Type B Mini', 'HDMI']|['Power', 'USB', 'HDMI']|projector, AC to DC power adapter, HDMI cable, MHL cable, remote with battery, protection case, CD, documentation|10000:1|||||Digital Light Processing (DLP)|||||['Ceiling-mount rear projection', 'Ceiling-mount front projection']||16:10||8.3 ft|1.4 ft|1920 x 1080|LED|1280 x 800||"1.6""h x 5.5""w x 4.6""d"|"(1) HDMI
(1) USB Mini B
(1) Power in"|Supply: 110-220VAC||DLP projector||Multiscan|||2 ft||||||1 Year|1 Year||14.8 oz
Buy Siig HDMI Over CAT5e Mini-Receiver Video Extenders & Splitters CE-H20211-S1 today at PC Connection|||||Black||||||Unit, documentation|||||||||||||||||||||||Low power consumption - no power adapter required.|Receiver|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Axis T91C61 Wall Mount Stainless Steel Stands & Mounts - AV 5504-691 today at PC Connection|||||Stainless steel||||||mount, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Network Camera|||Call for Warranty|Call for Warranty||
"Buy Planar 55"" PS5561T Full HD LCD Multi-Touch Display, Black Monitors - Large-Format LCD 997-7656-00 today at PC Connection"|91.00 lb(s)|['Touch screen', 'Remote control', 'Speakers Included', 'Dual speakers']||450 cd/m2|Black|16.7 million colors|"IR 6 point touch
VESA Compatible/Location: 400 mm x 200 mm; 4 holes"||['DVI', 'Power', 'RCA (L/R)', 'HDDB15', 'DisplayPort', '3.5mm audio', 'HDMI']|['Power', 'DisplayPort', 'HDMI', 'VGA', 'Audio', 'DVI']|display, power cord, VGA cable, IR extender cable, remote control, USB cable, documentation|4000:1||Digital Visual Interface (DVI)|Pivot (rotation)|55 in|LCD|Widescreen||||||||||1920 x 1080||||"28.7""h x 49.5""w x 2.8""d"|"(1) DisplayPort
(1) HDMI
(1) HDDB15 VGA
(1) DVI
(1) RCA L/R audio
(1) 3.5mm audio
(1) RS-232
(1) Power in"|"Supply: 100-240VAC, 50/60Hz
Consumption: 165W (max)"|||||6.5 ms|This product is subject to our return policy. Please see our complete return policy for details.|||"OS Compatibility:
Windows 8, 7, Vista, XP, Mac OSX and Linux"|||178/178|3 Years|3 Years|Customer First Warranty featuring FREE 2-Day Advance Replacement|
