3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|environmentconscious and reliable|features|flexible viewing and connectivity options|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|impressive screen clarity|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|superb performance|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|225B2CS/00, PHI225B2CS, Philips, LCD Monitor, IML Direct Italy||Yes|||16:10||Philips|250 cd/m²|['USB Hub', 'Speaker']||['Black', 'Silver']|16.7 Million Colours|||500,000:1||249 mm|59 mm|||Yes|||||||['TCO Displays 5.0', 'ENERGY STAR', 'RoHS', 'EPEAT Gold']|Yes|Yes|||484 mm|351 mm||176°||['110 V AC', '220 V AC']||Philips Electronics|225B2CS/00||1680 x 1050|Wall Mountable||1|2||22.50 W||||['PC', 'Mac']||Brilliance|225B2CS|Brilliance 225B2CS Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|50 Hz|100 mW|||||||Yes|||170°|Yes|100 x 100|Yes||4.15 kg|5.17 kg|505 mm|505 mm
|E2250SD, 3003096, AOC, LCD Monitor, IML Direct Italy||Yes|||16:10|LED|AOC|250 cd/m²||CE GOST TÜV-GS Ukrain Safety|Black|16.7 Million Colours|||20,000,000:1|China|190 mm||||Yes||||['Screen+', 'Eco Mode', 'i-Menu', 'Security Lock']|||['TCO Certified Displays 6.0', 'RoHS', 'EPEAT Silver', 'ENERGY STAR 6.0']|Yes|Yes|||408.5 mm|||170°||['220 V AC', '110 V AC']|3 Year|AOC|E2250SD||1680 x 1050|Wall Mountable||1||500 mW|18 W|||Twisted Nematic Film (TN Film)|['PC', 'Mac']||Value|e2250Sd|LED Monitor - E2250SD||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|||||60 Hz|500 mW||||||-4°to17°||||160°|Yes|75 x 75|Yes||3.76 kg||508.7 mm|
|LS22C45KMWV/EN, Samsung, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Samsung|250 cd/m²|Speaker|UL: UL 60950 1CSA: CSA C22.2 No.. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC Part 15, Subpart B ClassACE EN55022, EN55024VCCI V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||55.5 mm|210 mm||No|Yes||||['MagicRotation', 'MagicTune', 'Off Timer', 'MagicBright3', 'MagicAngle', 'Eco Saving']|||['ENERGY STAR', 'EPEAT Gold', 'TCO']|Yes||No||329.8 mm|453.50 mm||170°||['220 V AC', '110 V AC']||Samsung|LS22C45KMWV/EN||1680 x 1050|Wall Mountable||1|2||24 W||||PC|||S22C450MW|S22C450MW Widescreen LCD Monitor|450|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes||100 mW||||||||||160°|Yes|100 x 100|Yes||3.50 kg|5 kg|502.4 mm|502.40 mm
|LS24C65UDW/EN, 3005295, Samsung, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Samsung|250 cd/m²|['Speaker', 'USB Hub']||Matte Black|16.7 Million Colours|||1,000:1||54.2 mm|224 mm||Yes|Yes||||['Eco Saving', 'Off Timer', 'Display Power Management Signaling (DPMS)', 'MagicBright 5']|||['TCO Certified Displays', 'ENERGY STAR', 'EPEAT Gold']|Yes||||359.4 mm|517.25 mm||178°||['110 V AC', '220 V AC']||Samsung|LS24C65UDW/EN|130 mm|1920 x 1200|Wall Mountable||1|2||35 W|||AD-PLS Technology|PC|||S24C650DW|S24C650DW Widescreen LCD Monitor|SC650|LCD Monitor|Yes|Plastic|5 ms|WUXGA|"61 cm (24"")"||||Yes||300 mW|||45°|||-3°to25°|Yes|USB 2.0||178°|Yes|100 x 100|Yes||4.10 kg|5.70 kg|554.8 mm|554.80 mm
|9H.L7ALB.QPU, BENNOT044, BenQ, LCD Monitor, IML Direct Italy||Yes|No||16:9|LED|BenQ|250 cd/m²|||Glossy Black|16.7 Million Colours|||1,000:1||179.1 mm||||Yes||||['Senseye 3', 'Security Lock', 'Eco Mode']|||['ENERGY STAR 5.0', 'TCO Displays 5.0']|Yes|Yes|||436 mm|||170°||['220 V AC', '110 V AC']||BenQ Corporation|9H.L7ALB.QPU||1920 x 1080|Wall Mountable||1|||34 W||||PC|||GL2450|GL2450 Widescreen LCD Monitor|GL|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"||||No||300 mW||||||||||160°|Yes|100 x 100|Yes||4.10 kg||579.4 mm|
|9H.LC8LA.TBE, 3003899, BenQ, LCD Monitor, IML Direct Italy||Yes|No||16:9|LED|BenQ|300 cd/m²|||Glossy Black|16.7 Million Colours|||12,000,000:1||215 mm||||Yes||||['Security Lock', 'Eco Mode', 'Senseye 3', 'Flicker-free']|||ENERGY STAR|Yes|Yes|Yes|Yes|488 mm|||170°||['220 V AC', '110 V AC']||BenQ Corporation|9H.LC8LA.TBE||1920 x 1080|Wall Mountable||1|||21 W|||Twisted Nematic Film (TN Film)|PC|||GL2760H|GL2760H Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"68.6 cm (27"")"||||No||300 mW||||||-5°to20°||||160°|Yes|100 x 100|Yes||5.40 kg||641 mm|
|PB298Q, 2834657, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|21:9|LED|Asus|300 cd/m²|Speaker||Black|16.7 Million Colours|||80,000,000:1|||218 mm||Yes|Yes||||['Security Lock', 'Splendid Video Intelligence Technology']|||||Yes|Yes|Yes||376 mm||178°||||ASUS Computer International|PB298Q||2560 x 1080|||1|2|500 mW|31.70 W|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||PB298Q|PB298Q Widescreen LCD Monitor||LCD Monitor|||5 ms|UW-UXGA|"73.7 cm (29"")"||||Yes||500 mW||||||||||178°|Yes|100 x 100|||8.50 kg|||700 mm
|UM.QG6EE.005, 8654M76, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1|||||||36 kWh|A||Mobile High-Definition Link (MHL)|||MPR II|Yes||Yes|||||178°||['110 V AC', '220 V AC']|2 Year|Acer, Inc|UM.QG6EE.005|No|1920 x 1080|||1||450 mW|31 W|G246HYL Widescreen LCD MonitorPower Cord1 x VGA Cable||In-plane Switching (IPS) Technology||||G246HYL|G246HYL Widescreen LCD Monitor|G|LCD Monitor|||6 ms|Full HD|"60.5 cm (23.8"")"|Anti-glare|||Yes|60 Hz|490 mW|||No|||-5°to15°||||178°|No||Yes|||||
|UM.VV6EE.001, 8654L71, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||52 mm|207 mm|||Yes|||||||['TCO Certified Displays 6.0', 'EPEAT Gold']|Yes|Yes|||325 mm|409 mm||178°||['110 V AC', '220 V AC']|3 Year|Acer, Inc|UM.VV6EE.001|No|1920 x 1080|||1||350 mW|21.90 W|V236HL Widescreen LCD MonitorPower Cord1 x VGA Cable||In-plane Switching (IPS) Technology||||V236HL|V236HL Widescreen LCD Monitor|V|LCD Monitor|||6 ms|Full HD|"58.4 cm (23"")"|Anti-glare||||60 Hz|450 mW|||No|||-5°to25°||||178°|Yes|100 x 100|Yes||3.50 kg|4 kg|544 mm|544 mm
|VE228HR, ASUNOT625, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes||||LED|Asus|250 cd/m²|Speaker|BSMICBCCCCEC-TickFCCGost-RPSBUL/cULVCCIWHQL|Black|16 Million Colours|||80,000,000:1||201.8 mm||||Yes||||['Security Lock', 'Splendid Video Intelligence Technology', 'Cable Management']|||['ErP', 'RoHS', 'China Energy Label (CEL)', 'WEEE', 'J-Moss (Japanese RoHS)', 'ENERGY STAR']|Yes|Yes|Yes|Yes|386 mm|||170°||||ASUS Computer International|VE228HR||1920 x 1080|Wall Mountable||1|2||35 W|VE228HR Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card|||PC|||VE228HR|VE228HR Widescreen LCD Monitor|VE|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||Yes|76 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||4.10 kg||512.8 mm|
|5982-4100-9090, I110058, NCR Corporation, LCD Monitor, IML Direct Italy|||||||NCR||||['Charcoal', 'Anthracite']||||600:1|||140 mm||||||||||RoHS|Yes|||||192 mm||||||NCR Corporation|5982-4100-9090||640 x 480|||1|||||||||RealPOS|5982-4100|RealPOS 5982-4100 LCD Monitor||LCD Monitor|||25 ms|VGA|"16.5 cm (6.5"")"|||||60 Hz||||||||||||||Yes||612.3 g|||174 mm
|298P4QJEB/00, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|22:9|LED|Philips|300 cd/m²|USB Hub||||||1,000:1|||||Yes|Yes||||SmartImage|||['EPEAT Gold', 'TCO Certified Edge', 'ENERGY STAR']|Yes||Yes|||||178°||['220 V AC', '110 V AC']||Philips Electronics|298P4QJEB/00||2560 x 1080|||1|||||||['Mac', 'PC']|||298P4QJEB|298P4QJEB Widescreen LCD Monitor||LCD Monitor|||7 ms||"73.7 cm (29"")"|||||||||||||Yes|USB 3.0||178°|Yes|||||||
|LS22C300HS/EN, SAMS22C300HS, Samsung, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Samsung|250 cd/m²|||['Red', 'Black']|16.7 Million Colours|||1,000:1||53 mm|195 mm||No|No||||['Sleep Timer', 'Off Timer', 'MagicTune', 'MagicBright3', 'MultiScreen', 'Eco Saving', 'MagicBright12', 'Magic Upscale', 'MagicAngle']|||ENERGY STAR 6.0|Yes||Yes||319 mm|398 mm||170°||['110 V AC', '220 V AC']||Samsung|LS22C300HS/EN||1920 x 1080|||1|||21 W||||['Mac', 'PC']|||S22C300H|S22C300H Widescreen LCD Monitor|300|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||No||300 mW|||||||No|||160°|||Yes||2.60 kg|2.90 kg|510 mm|510 mm
|LL543AA, 9435ANR, HP, LCD Monitor, IML Direct Italy|||||4:3|LED|HP|400 cd/m²|||Jack Black||||700:1||60 mm|203 mm|||||||Security Lock||||||||290 mm|355 mm||160°||||Hewlett-Packard|LL543AA||1024 x 768|['Arm-mountable', 'Wall Mountable']||1|||15 W||||PC||Business|L1506x|Business L1506x LCD Monitor|Essential|LCD Monitor|Yes|99%|8 ms|XGA|"38.1 cm (15"")"|Anti-glare|||||1 W||||||||||140°|Yes|100 x 100|Yes||3.10 kg||340 mm|340 mm
|R72MCWL, S603KY1, Lenovo, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Lenovo|250 cd/m²||Safety: UL (USA) CSA /cUl(Canada) IEC EN60950 CB Report SEMKO NOM (Mexico) SASO (Saudia Arabia) TUV (Germany) CCC (China) Gost (Russia) Ukraine PSB(Singapore) BSMI KC (Korea) TUV -S(Argentina) KVALITET(Serbia) EMI: FCC B (USA) IC (Canada) CE (Europe) VCCI (Japan) KC (Korea) ANZ SABS(South Africa) BSMI (Taiwan) CCC (China) Ergonomic: GS ISO 9241-307 VOC e-Standby (Korea) CEL Grade 1||16.7 Million Colours|||1,000:1||241.3 mm|||Yes|Yes||||['Cable Management', 'Security Lock']|||['China RoHS', 'TCO Certified Edge Displays 1.1', 'EPEAT Gold', 'EPA', 'MPR II', 'ENERGY STAR 5.0', 'China Energy Label (CEL)', 'RoHS', 'REACH', 'CECP', 'ULE Gold', 'Turkey RoHS']|Yes||No||367.3 mm|||170°||['220 V AC', '110 V AC']|3 Year|Lenovo Group Limited|R72MCWL||1680 x 1050|||1||500 mW|26 W|||Twisted Nematic Film (TN Film)|PC||ThinkVision|LT2252p|ThinkVision LT2252p 22-inch Wide LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||No|75 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||5.14 kg||506 mm|
|60B0HAT1UK, 2895265, Lenovo, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Lenovo|250 cd/m²||China Energy standard Tier 1 VOC test TUV Ergo DDC/CI ISO 9241-307|Raven Black|16.7 Million Colours|||1,000:1||167.2 mm||||Yes||||Security Lock|||['ENERGY STAR 6.0', 'EU RoHS', 'RoHS', 'Ukraine RoHS', 'China RoHS', 'Turkey RoHS', 'EPEAT Silver', 'TCO Certified Displays 6.0']|Yes||||399 mm|||90°||['220 V AC', '110 V AC']|3 Year|Lenovo Group Limited|60B0HAT1UK||1920 x 1080|Wall Mountable||1||500 mW|21 W|||Twisted Nematic Film (TN Film)|PC||ThinkVision|E2323|ThinkVision E2323 Wide 23-Inch FHD WLED Backlit LCD Monitor||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||75 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||3.55 kg||548.5 mm|
|VE247H, ASUCAS019, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Asus|300 cd/m²|Speaker||Black|16.7 Million Colours|||10,000,000:1||201 mm||||Yes|||||||||Yes|Yes||409.7 mm|||170°||||ASUS Computer International|VE247H||1920 x 1080|Wall Mountable||1|2||34.90 W||||PC|||VE247H|VE247H Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"59.9 cm (23.6"")"||||Yes||900 mW||||||||||160°|Yes|100 x 100|Yes||4.40 kg||569.4 mm|
|UM.EV6EE.008, 8654G62, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:10|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||207 mm||||Yes|||||||"['EPEAT Gold', ""TCO '06""]"|Yes|Yes|||419.1 mm|||170°||['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.EV6EE.008|No|1680 x 1050|||1||350 mW|24.20 W|V226WL Widescreen LCD Monitor1 x VGA CablePower Cord||Twisted Nematic Film (TN Film)||||V226WL|V226WL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare|||Yes|60 Hz|450 mW|||No|||-5°to25°||||160°|Yes|100 x 100|Yes||3.09 kg|3.52 kg|505.7 mm|
|E2278HD-GB1, 2504950, Iiyama, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|iiyama|250 cd/m²||CETUV-BauartVCCI-BCU|Black|16.7 Million Colours|||1,000:1||177.5 mm||||Yes||||Security Lock|||['ENERGY STAR', 'TCO Displays 5.0']|Yes|Yes|||369.5 mm|||170°||['110 V AC', '220 V AC']||iiyama North America, Inc|E2278HD-GB1||1920 x 1080|Wall Mountable||1|||20 W|ProLite E2278HSDPower CableVGA (D-Sub) CableDVI-D CableStand-BaseQuick Start GuideSafety Guide|||['PC', 'Mac']||ProLite|E2278HSD|ProLite E2278HSD||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||75 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||2.80 kg||514.5 mm|
|D7Q13AT#ABU, 2951079, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|HP|250 cd/m²|USB Hub|EN 55022 Class A CB CE CEL Grade 1 TUV GS GOST CUL FCC CSA NOM S-Mark VCCI MIC PSB ISC CCC BSMI C-Tick ICES Microsoft WHQL|Black|16.77 Million Colors|||5,000,000:1||51 mm|242.90 mm||Yes|Yes||||Security Lock|||['TCO Certified Edge', 'EPEAT Gold', 'ENERGY STAR 5.0', 'WEEE', 'REACH']|Yes|Yes|||329 mm|469.90 mm||178°||['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|D7Q13AT#ABU|150 mm|1920 x 1080|Wall Mountable||1|||36 W|Z Display Z23i 58,4cm (23'') IPS LED Backlit Monitor (Energy Star) AC power cord USB cable DVI cable DisplayPort cable Documentation CD HP Display Assistant software||In-plane Switching (IPS) Technology|PC|||Z23i|Z Display Z23i 58,4cm (23'') IPS LED Backlit Monitor (Energy Star)|Z|LCD Monitor|||8 ms|Full HD|"58.4 cm (23"")"|Anti-glare|||No||500 mW|||360°|||-5°to30°|Yes|USB 2.0||178°|||Yes|||6.40 kg|544 mm|544 mm
|D9E49AA#UUZ, HP, LCD Monitor, IML Direct Italy|||||16:9|LED|HP|250 cd/m²|['USB Hub', 'Microphone']||Black||||5,000,000:1||51 mm|237 mm||Yes|Yes||||||Click to view|['TCO Certified Edge', 'ENERGY STAR']|Yes||||309 mm|460 mm|||||3 Year|Hewlett-Packard|D9E49AA#UUZ||1920 x 1080|||1|||42 W|EliteDisplay E221c 21.5-inch Webcam LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD|||||Elite|E221c|EliteDisplay E221c 21.5-inch Webcam LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||7 ms|Full HD|"54.6 cm (21.5"")"||||Yes|||||||||Yes||||||Yes|Yes||5.40 kg|509 mm|509 mm
|K9601621, 2920953, Barco, LCD Monitor, IML Direct Italy|||Yes|Yes|4:3||Barco|1100 cd/m²|USB Hub||||||1,000:1||114 mm|249 mm|Landscape/Portrait||Yes||||||||||||382 mm|472 mm||170°||||Barco|K9601621|||||1|||78 W|||In-plane Switching (IPS) Technology||||MDNG-6121|5 MegaPixel (2800 x 2096) Diagnostic Grayscale Display System||LCD Monitor|||32 ms||"54.1 cm (21.3"")"|Anti-reflective||||||||||||Yes|USB 2.0||170°|Yes|100 x 100||||12.30 kg|488 mm|488 mm
|UM.WB6EE.001, 3109895, Acer, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Acer|250 cd/m²|||Dark Grey|16.7 Million Colours|||100,000,000:1|||221 mm|||Yes|||||||['TCO Certified Displays 6.0', 'EPEAT Gold']|Yes|Yes|||304 mm|369 mm||170°||['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.WB6EE.001||1920 x 1080|||1||350 mW|16.50 W|B226HQL Widescreen LCD Monitor1 x DVI Cable1 x VGA CablePower Cord||||||B226HQL|B226HQL Widescreen LCD Monitor|B|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|60 Hz|450 mW||||||||||160°|||Yes||3.17 kg|5.81 kg|508 mm|508 mm
|D7R00A4#ABU, HP, LCD Monitor, IML Direct Italy||Yes||Yes|16:9|LED|HP|250 cd/m²|USB Hub|WHQL CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC BSMI||1.07 Billion Colors|||1,000:1||65.5 mm|242.40 mm||Yes|||||Security Lock|||['EPA', 'REACH', 'TCO Certified Displays', 'China Energy Label (CEL)', 'WEEE']|Yes|Yes|Yes||379.2 mm|420.40 mm||178°||['230 V AC', '120 V AC']|3 Year|Hewlett-Packard|D7R00A4#ABU||2560 x 1440|||1||||DreamColor Z27x Professional Display(D7R00A4) AC Power Cord DisplayPort Cable USB Cable HDMI Cable DisplayPort Mini Cable DVD Documentation Kit Factory Calibration Report||In-plane Switching (IPS) Technology|PC||Business|Z27x|DreamColor Z27x Professional Display(D7R00A4)|Z|LCD Monitor|||7 ms|WQHD|"68.6 cm (27"")"|Anti-glare||||||||45°|||-5°to20°|Yes|USB 3.0||178°|||||8.80 kg||641 mm|641 mm
|E1980SD-B1, 2639935, Iiyama, LCD Monitor, IML Direct Italy||Yes|||5:4|LED|iiyama|250 cd/m²|Speaker|C-ULCETÜV-GSVCCI-BCU|Black|16.7 Million Colours|No|No|1,000:1||189.5 mm|||No|Yes||||Security Lock|||['TCO Displays 5.0', 'ENERGY STAR']|Yes|Yes|No||402 mm|||170°||['110 V AC', '220 V AC']|3 Year|iiyama North America, Inc|E1980SD-B1||1280 x 1024|Wall Mountable||1|2||16 W|ProLite E1980SDPower CableVGA (D-Sub) CableDVI-D CableAudio CableStandStand-BaseQuick Start GuideSafety Guide|||['Mac', 'PC']||ProLite|E1980SD|ProLite E1980SD||LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"||||Yes|75 Hz|1 W|||||No||No|||160°|Yes|100 x 100|Yes||3.20 kg||411 mm|
|240S4QMB/00, 3197127, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Philips|250 cd/m²|Speaker|BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS|Black|16.7 Million Colours|||20,000,000:1||65 mm|227 mm|||Yes||||['SmartControl', 'SmartContrast', 'SmartImage', 'SmartPower', 'SmartErgoBase', 'Eco Mode']|||"['ENERGY STAR 6.0', 'RoHS', 'WEEE', 'EPEAT Gold', ""TCO '06""]"|Yes|Yes||Yes|388 mm|543 mm||178°||['120 V AC', '230 V AC']|1 Year|Philips Electronics|240S4QMB/00|110 mm|1920 x 1200|||1|2||23.59 W|||PLS (Plane to Line Switching) Technology|['Mac', 'PC']||Brilliance|240S4QMB|"Brilliance LCD Monitor with SmartImage 240S4QMB S-line 24"" / 61 cm 1920 x 1200"|S|LCD Monitor|Yes||5 ms|WUXGA|"61 cm (24"")"||||Yes|60 Hz||||65°|||-5°to20°||||178°|Yes|100 x 100|Yes||4.48 kg|6.34 kg|555 mm|555 mm
|C9V75AA#ABT, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|HP|250 cd/m²|USB Hub|CE CB KC KCC NOM PSB Ice TUV S CCC SEPA ISC VCCI FCC BSMI|Black|16.77 Million Colors|||1,000:1||51 mm|242.40 mm||Yes|Yes||||Security Lock|||['TCO Certified Edge', 'ENERGY STAR', 'EPEAT Gold', 'EPA', 'China Energy Label (CEL)', 'CECP', 'REACH']|Yes|Yes|||329 mm|469.90 mm||170°||['110 V AC', '220 V AC']|3 Year|Hewlett-Packard|C9V75AA#ABT||1920 x 1080|Wall Mountable|No|1|||36 W|EliteDisplay E231 23-inch LED Backlit Monitor VGA Cable DisplayPort Cable USB Cable Power Cord Printed Documentation And CD HP Display Assistant Software|||PC||Business|E231|EliteDisplay E231 23-inch LED Backlit Monitor|Advantage|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|Anti-glare|||No|60 Hz|500 mW|||||||Yes|USB 2.0||160°|Yes||Yes|No|3.90 kg|6.10 kg|544 mm|544 mm
|UM.WG6EE.F01, 8655F68, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||33.9 mm|168 mm||||32 kWh|B|||||MPR II|Yes||Yes||364 mm|365 mm||170°||['220 V AC', '110 V AC']|2 Year|Acer, Inc|UM.WG6EE.F01|No|1920 x 1080|||1||400 mW|22 W|G226HQL Widescreen LCD Monitor1 x VGA CablePower Cord||Twisted Nematic Film (TN Film)||||G226HQL|G226HQL Widescreen LCD Monitor|G|LCD Monitor|||2 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||No|60 Hz|450 mW|||No|||-5°to15°||||160°|No||Yes||1.90 kg|2 kg|511 mm|511 mm
|231P4QPYKES/00, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Philips|250 cd/m²|['Speaker', 'USB Hub', 'Webcam']|TUV ErgoTUV/GSUL/cULBSMICE MarkFCC Class BGOSTSASOSEMKO|['Black', 'Silver']|16.7 Million Colours|||1,000:1||60 mm|220 mm||Yes|Yes||||['Security Lock', 'SmartErgoBase', 'PowerSensor']|||['TCO Certified Displays 5.2', 'ENERGY STAR 5.0', 'WEEE', 'TCO Certified Edge', 'RoHS', 'EPEAT Gold']|Yes|Yes||Yes|343 mm|515 mm||178°||['110 V AC', '220 V AC']||Philips Electronics|231P4QPYKES/00||1920 x 1080|||1|2||29.10 W|||In-plane Switching (IPS) Technology|['Mac', 'PC']|65%|Brilliance|231P4QPYKES|Brilliance IPS LCD Monitor, LED Backlight with Webcam|P|LCD Monitor|Yes|Plastic|7 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|300 mW|||||||Yes|USB 2.0||178°|Yes|100 x 100|Yes||3.09 kg|5.23 kg|547 mm|547 mm
|VG2433-LED, B921449, ViewSonic, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Viewsonic|300 cd/m²|||||||1,000:1||56.4 mm|204.22 mm|||Yes||||Eco Mode|||['ENERGY STAR', 'TCO Certified Displays 5.2']|Yes||||304.8 mm|382.52 mm||170°||['110 V AC', '220 V AC']||Viewsonic Corporation|VG2433-LED||1920 x 1080|Wall Mountable||1|||22 W||||['PC', 'Mac']|||VG2433-LED|VG2433-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"|Anti-glare||||75 Hz|||||||||||160°|Yes|100 x 100|Yes||3.22 kg|6.72 kg||
|VE198S, 2394644, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|||16:10|LED|Asus|250 cd/m²|Speaker|UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCI|Black|16.7 Million Colours|||10,000,000:1|||182 mm|||||||['Splendid Video Intelligence Technology', 'Security Lock']|||['ENERGY STAR', 'RoHS']|Yes|||||366 mm||170°||||ASUS Computer International|VE198S||1440 x 900|Wall Mountable||1|2|1 W|25 W|VE198S Widescreen LCD MonitorVGA CableAudio CablePower CordQuick Start GuideWarranty Card|||PC|||VE198S|VE198S Widescreen LCD Monitor|VE|LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"||||Yes|75 Hz|1 W||||||||||160°|Yes|100 x 100|Yes||3.20 kg|||445 mm
|C9V73AA#AB0, HP, LCD Monitor, IML Direct Italy|||||16:9|LED|HP|250 cd/m²|USB Hub||Black||||5,000,000:1||51 mm|228.90 mm||Yes|Yes||||||Click to view|['TCO Certified Edge', 'ENERGY STAR']|Yes||||289 mm|434.80 mm|||||3 Year|Hewlett-Packard|C9V73AA#AB0||1600 x 900|||1|||30 W|EliteDisplay E201 20-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD|||||Elite|E201|EliteDisplay E201 20-inch LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|||||||||||||Yes||||||Yes||5.20 kg||472.8 mm|472.80 mm
