<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altoparlante  cuffia  spinotto di uscita|altoparlanti|altoparlanti incorporati|angolo di inclinazione|angolo di rotazione|angolo di visione orizzontale|angolo di visione verticale|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|area di visualizzazione effettiva|blocco cavo|bluetooth|caratteristiche|caratteristiche sicurezza|cavi inclusi|cavo alimentazione incluso|certificato energy star|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del prodotto|colore piedi|colori del display|colori display|comandi  regolazioni|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|composite sync|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connettori di ingresso|consumi|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico annuo|consumo energetico in standby|consumo energetico max|controllo del volume|copertura schermo|dcin jack|descrizione prodotto|dettagli dimensioni e peso|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni lxpxh|dimensioni schermo|display surface|dot pitch|dot rate video|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|interfacce|interfaccia comune|interfaccia di montaggio schermo piatto|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità|luminosità schermo|lunghezza cavo|lunghezza diagonale|manuale dellutente|megapixel|microfono incorporato|microfono spinotto dingresso|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mtbf|number of simultaneous touchpoints windows 7|numero di altoparlanti|numero di lingue osd|numero di prodotti inclusi|on screen display osd|peso|peso incluso imballo|peso prodotto con supporto|pictureinpicture|pivot angle|pixel pitch|plug  play|porta dvi|porta rs232|porta usb|posizionamento supportato|potenza assorbita in esercizio|potenza di uscita  canale|potenza in uscita rms|profondità|profondità con supporto|profondità imballo|protezione per i bambini|quantità|quantità displayports|quantità porte dvid|quantità porte hdmi|quantità porte thunderbolt|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|range di scansione orizzontale|range di umidità di funzionamento|rapporto daspetto|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regolazione posizione display|regolazioni formato schermo|retroilluminazione a led|risoluzione|risoluzione massima|risoluzione nativa|risoluzioni grafiche supportate|rotazione|schermo srgb|sicurezza|sintonizzatore tv integrato|sistema operativo linux supportato|sistema operativo windows supportato|source datasheet|standard ambientali|standard di conformità|subwoofer incorporato|supporto colore|sync hv separato|syncongreen sog|tecnologia display|tecnologia retroilluminazione|tecnologia touchscreen|telecomando|tempo di risposta|tensione richiesta|thin client installato|tipi schede di memoria|tipo|tipo alimentazione|tipo di display|tipo di dispositivo|tipo di prodotto|tipo di schermo|tipo schermo|tipologia di retroilluminazione|tipologia display|tipologia hd|tipologia touch screen|umidità|uscita audio|velocità refresh orizzontale|velocità refresh verticale|voltaggio di ingresso|webcam girevole
AOC 21.5 A2272Pwh/BK MONITOR LED||||32,25 cm||43 cm|||Si|||||170°|160°|476,64 x 268,11 mm||||Kensington Lock|AC, Audio (3.5mm), HDMI, USB, VGA|||CE EuP FCC GOST NRTL RoHS TUV-Bauart|Si||||Nero, Argento|||16,7M|||75 x 75 mm|No|||||||||30W|0,5W||1W|||||||||54,6 cm|||||||"['54,61 cm (21.5"")', '54,6 cm']"||0,248 x 0,248 mm|170 MHz|16:9|Si|50/60 Hz|30 - 83 kHz|50 - 75 Hz|Si|||||Si||15 - 57°||||||||||50 - 75 Hz|||52,19 cm||58,8 cm|||||250 cd/m²||||||||1080p|Si|||2|||Si|3,2 kg|5,5 kg|||||Si||||Orizzontale|||4W|4 cm||13,9 cm|||||1||4||1|30 - 83 kHz|||1000:1|50000000:1||||Si|1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No|||||||||||||||||2 ms|||||AC|LED|||||W-LED|TN+Film||Da tavolo||1|||100 - 240V|
AOC LED 24 g2460Pg Gaming 16:9 5ms DP USB Pivot G-Sync MONIT...||||24,46 cm|||||No|||||170°|160°||Kensington|||||||Energy Star 6.0|Si|Non specificato|||Nero||16,77M||||100 x 100 mm|No||||CE|Oro||||27,7W||0,5W|0,5W||||||||||53,136 cm|29,889 cm|||||"['61 cm', '60,96 cm (24"")']"||0,276 x 0,276 mm||16:9|No|50/60 Hz|30 - 160 kHz|50 - 146 Hz|||Si|||Si||-5 - 22°|Si||||||||||||56,54 cm||||No|||350 cd/m²|||||||||Si||||||Si|6,54 kg|8,55 kg|||||||||||||39,36 cm|||||1||||2|3|||||1000:1|80000000:1|13 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||TÜV-GS, GOST, RoHS|No||||||||||||||1 ms|||||||||||W-LED|LED|Full HD||||||100 - 240V|
ASUS MONITOR LED 23.6 ASUS VE247H||||409.7 mm|||1|||||||170 °|160 °||Kensington|||||||Energy Star 5.0, CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, RoHS, WEEE, Windows Vista & Windows 7 WHQL|||||Nero||||||100 x 100 mm|||||||3.5 mm|||35 W|||1 W|||||||||599 mm|||638 x 480 x 175 mm||||"599.4 mm (23.6 "")"||0.272 x 0.272 mm||16:9|N||30 - 83 kHz|50 - 76 Hz||||||Si|Si|-5 - 20 °|||||||||||||569.4 mm|||Si||||300 cd/m²||||||||||||||||4.4 kg|7.1 kg||||||||||||2 W|201 mm||||||1|1||||1||||||||||1920 x 1080 Pixels|||||||N|||.|||||||||||2 ms||||||||||||||||||||
Acer LED 24 B246HLymdpr Wide MONITOR LED||||384 mm|||||Si|||||170 °|160 °||||||AC, DisplayPort, DVI, VGA|||TCO 6.0||Non specificato|||Grigio||16.77 M|||||N|||||Oro|||||||||||||||||||||||"['61 cm', '609.6 mm (24 "")']"||||16:9|N|||||||||||||Si|||||||||||566.9 mm|||Si||||250 cd/m²||||||||||||2||||3.44 kg||6.09 kg|||||||||||4 W|221.2 mm|||||1||||||1|||||100000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N|||.|||||||||||5 ms||N||||||||||LCD|Full HD||||||110 - 220 V|
AOC MONITOR LED 19 AOC e960Srda|Si|||405.1 mm|||||Si|||||170 °|160 °||Kensington|N||||||CE, cTUVus, EuP, FCC, ISO 9241-307, GOST, RoHS, TCO 5.0, TÜV-GS|Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N|||||Argento||N||22 W||0.5 W|0.5 W||||||||||376 mm|301 mm|||||"['482.6 mm (19 "")', '48.3 cm']"||0.294 x 0.294 mm|140 MHz|5:4|N||30 - 80 kHz|50 - 76 Hz|||N|||N||-5 - 15 °|Si||||||||Si||||409.2 mm||||N|||250 cd/m²|||||N|N|||Si|||1|||Si|2.85 kg||4.2 kg||||Si||||||||210 mm||||||1|||||1||||1000:1|20000000:1|N||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|N|||N|||.|||||||||||5 ms||N|N|||||||||LED|||||||90 - 240 V|
LG 23 23ET63V-W IPS Touch MONITOR LED||||33,8 cm||41,2 cm|1|||||||178°|178°||||||USB, VGA||||||||Nero|||16,7M|||75 x 75 mm||||||||||25W|0,3W||||||||||||||||555 x 53 x 338 mm||"58,42 cm (23"")"||0,2652 x 0,2652 mm||16:9|||||Si|||||Si||15 - 58°||||||||||56 - 75 Hz|||55,5 cm||63,1 cm|||||250 cd/m²|||||||||Si||||||||5,7 kg|4,4 kg|Si|||Si||||||||5,3 cm||12 cm|||||1||||1|30 - 83 kHz|||1000:1||||||1920 x 1080 Pixels|||||||||||||||||||||5 ms|||||DC|LED||||||IPS||Multi utente|||||100 - 240V|
ASUS LED 23 PB238Q IPS VGA.DVI.HDMI MONITOR LED||||323.7 mm|414.2 mm|386 mm|||Si|||||178 °|178 °||Kensington||||Audio (3.5mm), DVI, USB, VGA|||UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSE, RoHS, WEEE, Windows 7 WHQL|Si||||Nero||16.77 M||||100 x 100 mm|N||||||||||0.5 W||||||||||||||||||"['58.4 cm', '584.2 mm (23 "")']"||0.2652 x 0.2652 mm||16:9|N|50/60 Hz|24 - 83 kHz|50 - 75 Hz||||Si||Si||20 - -5 °||Si|Si||Si||||||||548.8 mm|548.8 mm|671 mm|Si||||250 cd/m²|||||||||Si|||2||||5.5 kg|7.8 kg|||||Si|||||||4 W|57.6 mm|201 mm|253 mm|||1|1|1||5||1||||1000:1|80000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N|||.|||||||IPS||||6 ms||N||||||||||LED|Full HD||||||100 - 240 V|
Asus LED 21.5 VS228NE MONITOR LED|||||386.3 mm|443 mm|||N|||||90 °|65 °||Kensington||||AC, DVI, VGA|||BSMI, CB, CCC, CE, C-Tick, EK, ErP, FCC, Gost-R, J-MOSS, PSB, PSE, RoHS, UL/cUL, VCCI, WEEE, WHQL|Si||||Nero||16.77 M||||100 x 100 mm|N|||||Oro||||21.1 W||0.5 W|0.5 W|37.2 kWh|||||||||||||||"['54.6 cm', '546.1 mm (21.5 "")']"||0.248 x 0.248 mm||16:9|N|||||||Si||Si||-5 - 20 °||||||||||55 - 75 Hz||||514.1 mm|556 mm|||||200 cd/m²|||||||||Si|||||||3.8 kg|5.9 kg||||||Si||||||||200 mm|130 mm||||1|||||1|30 - 80 kHz||||50000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||5 ms||N||||||||||LED|Full HD|||||||
AOC LED 23 e2360Pda|Si|||37,52 cm|||||Si|||||170°|160°||Kensington||||AC, Audio (3.5mm), DVI, VGA|||cCSAus, CE, EuP, FCC, GOST, ISO, RoHS, TCO, TÜV-GS|Si|Non specificato|||Nero||16,77M||||100 x 100 mm|N|||||Argento||||||0,5W|0,5W||||||||||||||||"['58,42 cm (23"")', '58,5 cm']"||0,265 x 0,265 mm||16:9|N|50/60 Hz|30 - 83 kHz|55 - 75 Hz|||Si|||Si||-15 - 15°|Si|Si|||||||||||54,85 cm|||Si||||250 cd/m²|||||||||Si|||||||5,65 kg|7,22 kg|||||||||||||24,45 cm||||||1|||||1||||1000:1|20000000:1|13 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N||||||||||||||5 ms||N|||||||||W-LED|LED|Full HD||||||90 - 240V|
Asus LED 24 VX248H 1ms VGA HDMI Speaker MONITOR LED|||Esterno|||||Integrato||-5/+20||170|160||||||['Foro per blocco di sicurezza (blocco per cavo venduto separatamente)', 'HDCP, ASUS Splendid Video Intelligence Technology, Skin-Tone Selection, Trace Free Technology, ASUS Smart Contrast Ratio (ASCR), ASUS Splendid Video Preset Mode, ASUS QuickFit Virtual Scale, ASUS GamePlus, ASUS VividPixel Technology']||1 x Cavo audio ¦ 1 x cavo VGA||Sì|||||['Nero', 'Nero']|||||Volume, luminosità, selezione ingresso, temperatura colore, controllo aspetto|||||||||||2xHDMI, VGA|||||||||||"ASUS VX248H - monitor a LED - 24"""||||||||['53.54 cm x 21.01 cm x 33.8 cm - con supporto', '53.54 cm x 21.01 cm x 33.8 cm - con supporto']|||||||||||||||||||||||2 x HDMI ¦ VGA ¦ Ingresso audio ¦ Cuffie|||||||||||||['250 cd/m2', '250 cd/m2']|||"24"""||||||||||||||['3.2 kg', '3.2 kg']|||||['0.277 mm', '0.277 mm']||||||23.2 Watt|2 Watt||||||||||||||||['Widescreen - 16:9', 'Widescreen - 16:9']|['1000:1 / 80000000:1 (dinamico)', '1000:1 / 80000000:1 (dinamico)']|||['Inclinazione', 'Inclinazione']|||||['FullHD 1920 x 1080', 'FullHD 1920 x 1080']|||||||||Certificato ENERGY STAR|['UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, WEEE, ErP Ready, China Energy Label Level 1', 'UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, WEEE, ErP Ready, China Energy Label Level 1']||['16,7 milioni di colori', '16,7 milioni di colori']||||Retroilluminazione a LED|||['1 ms (grigio su grigio)', '1 ms (grigio su grigio)']|"120/230 V c.
a.
( 50/60 Hz )"|||Altoparlanti - stereo - integrato|||"Monitor LCD con retroilluminazione a LED - 24"""||['TN', 'TN']|Monitor LCD con retroilluminazione a LED / matrice attiva TFT|||||||30 - 80 kHz|56 - 76 Hz||
IIyama LED 19 E1980SD 5ms.DVI. MONITOR LED||||402 mm|||||Si|||||170 °|160 °|||N|||AC, Audio (3.5mm), DVI, VGA|||CE, TÜV-GS, VCCI-B, TCO, CU|Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N|||||||N||16 W|||1 W||||||||||376.32 mm|301.05 mm|||||"482.6 mm (19 "")"||0.294 x 0.294 mm||5:4||50/60 Hz||||||Si||Si|N|-4 - 21 °|Si|||||||||56 - 75 Hz|||411 mm||||N|CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS||250 cd/m²|||Si||||||Si|||2|9||Si|3.2 kg||||||||||Orizzontale|||2 W|189 mm||||||1|||||1|24 - 80 kHz|||1000:1||||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|||||||.|||N||Si||TN+Film||||5 ms||N||||||||||LED|N||||||100 - 240 V|
Asus LED 23 VX238H MONITOR LED|Si||||402.7 mm|488 mm|1||Si|||||170 °|160 °||Kensington|||||||UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, CEL, RoHS, WEEE, Windows 7 WHQL|Si|Non specificato|||Nero||16.77 M|||||N||||||3.5 mm|||34 W|0.5 W|0.5 W|||||Digitale||||||||||||"['58.4 cm', '584.2 mm (23 "")']"||0.2652 x 0.2652 mm||16:9|N|50/60 Hz|30 - 80 kHz|56 - 76 Hz||||||Si|Si|-5 - 20 °||Si|||Si||||Si|||||548.2 mm|600 mm|Si||||250 cd/m²||||||||||||2||1 pezzi|Si||4.1 kg|2.6 kg||||||||Orizzontale|||3 W||210 mm|125 mm|||||2||||1|||||80000000:1|N||Auto||1920 x 1080 Pixels|1920 x 1080 Pixels||1920 x 1080 (HD 1080)||||N||Si|.|||||||||||1 ms||N||||||||||LED|Full HD||||||100 - 240 V|
ACER LED 27 V276HL||||||||||||||||||||||||TCO 6.0|Si|Non specificato|||Nero|||||||N||||||||||||||||||||||||||||"685.8 mm (27 "")"|||||N|||||||||||||Si||||||||||||||Si||||300 cd/m²|||||||||||||||||||||||||||||||||||1||||||1|||||100000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||6 ms||N||||||||||LED|Full HD|||||||
AOC LED 21.5 E2250SWDNK MONITOR LED||||379.95 mm|||||N|||||90 °|65 °||Kensington|N||||||CB, CE, FCC, GOST, ISO 9241-307, RoHS, TÜV-GS, Win7|Si||N||Nero||16.77 M|||N|75 x 75 mm||||||||||21 W|||0.5 W|||||||||547 mm|476.64 mm|268.11 mm|||||"546.1 mm (21.5 "")"||0.248 x 0.248 mm|148 MHz|16:9|N|50/60 Hz||||||||Si|N|-4 - 17 °|||||||N|||50 - 76 Hz|||511.18 mm||||N|||200 cd/m²|||||||||Si||||16||Si|4.06 kg||||||Si||||||||190 mm||||||1|||||1|30 - 83 kHz|||600:1|20000000:1|||||1920 x 1080 Pixels|1920 x 1080 Pixels||1920 x 1080 (HD 1080)|||UkraineSafety|N|||.|||||||||||5 ms||N|N||||||||W-LED|LED|Full HD||||||100 - 240 V|
AOC LED 24 E2460SHU MONITOR LED||||403.05 mm|||||Si|||||170 °|160 °||Kensington|N||||||CE, Energy Star 5.0, EPEAT Gold, FCC, ISO 9241-307, RoHS, TCO 5.0, TÜV-GS, Win7|Si||N||Nero||16.77 M|||N|100 x 100 mm||||||||||||||||||||||609.7 mm|531.36 mm|298.89 mm|||||"609.6 mm (24 "")"||0.276 x 0.276 mm|148.5 MHz|16:9|N|50/60 Hz||||||||Si|Si|-5 - 15 °|||||||N|||55 - 75 Hz|||565.4 mm||||N|||250 cd/m²|||||||||Si||||||Si|4.64 kg||||||Si|||5|||||219.3 mm||||||1|1||||1|30 - 83 kHz|||1000:1|20000000:1|||||1920 x 1080 Pixels|1920 x 1080 Pixels||1920 x 1080 (HD 1080)|||UkraineSafety||||.|||||||||||2 ms||N|||||||||W-LED|LED|Full HD||||||90 - 240 V|
AOC LED 23.6 e2470Swda MONITOR LED|||||||||Si|||||170 °|160 °|||||||||CE, FCC, TUV, RoHS|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Oro|||||||||||||||||531.36 mm|298.89 mm|||||"599.4 mm (23.6 "")"|Matt|0.276 x 0.276 mm||16:9|N|50/60 Hz|||||Si|||Si||-5 - 15 °|Si|||||||||55 - 75 Hz||||||||||250 cd/m²|||||||||Si||||||||||||||Si||||||2 W|||||||1|||||1|30 - 83 kHz|||1000:1|20000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|||N|||.|||||||TN+Film||||5 ms||N||||||||||LED|Full HD||||||90 - 240 V|
Asus 18.5 VS197DE MONITOR LED|Si||||346 mm|421 mm|||N|||||90 °|50 °||Kensington|||||||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL|Si|Non specificato|||Nero||16.77 M||||75 x 75 mm|N|||||||||17 W|0.5 W|0.5 W|||||||||||||||||"['469.9 mm (18.5 "")', '47 cm']"||0.3 x 0.3 mm||16:9|N|||||||||N||-5 - 20 °|Si|||||||||55 - 75 Hz||||447 mm|495 mm|||||200 cd/m²|||||||||Si||||||Si||3.9 kg|2.6 kg|||||||||||||185 mm|114 mm|||||||||1|30 - 80 kHz||||50000000:1|N||||1366 x 768 Pixels|||1366 x 768||||N|||.|||||||||||5 ms||N||||||||||LED||||||||
LG LED 29 29EB53-B IPS 21:9 MONITOR LED||Si|||37,14 cm||||Si|||||178°|178°||||||DVI, USB||||Si||||Nero||16,77M||||||||||||||48W||0,5W|1,2W||||||||||||||||"['73,66 cm (29"")', '73,66 cm']"||0,264 x 0,264 mm||21:9|No|47-63 Hz|||||||||||||||Si|||||56 - 75 Hz||||69,97 cm||||||300 cd/m²|||Si||||||Si|||2||||||6,4 kg|||||Si||||||14W||25,9 cm||||1||2|||3||30 - 90 kHz||||5000000:1|Si||||2560 x 1080 Pixels|||2560 x 1080||||||||||||||LCD/TFT||||5 ms||No||||||||||LCD|Full HD||||||90 - 240V|
HannsG 21.5 HS221HPB IPS MONITOR LED||||39 cm||45,2 cm|||Si|||||178°|178°||Kensington||||AC, VGA|||||Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||||||30W||0,5W|0,5W||||||||||||||||"['54,6 cm', '54,61 cm (21.5"")']"|Matt|0,248 x 0,248 mm||16:9|No|50/60 Hz|30 - 83 kHz|56 - 75 Hz||||Si||Si||-5 - 15°|Si||||Si|||||||5 - 35 °C|51,2 cm||57,2 cm|||DEU, DUT, ENG, ESP, FRE, ITA, POR||250 cd/m²|||Si||||||Si|||2|12||Si|4,7 kg|5,4 kg||||||Si||||||2W|20,3 cm||15,2 cm|||||1||||1||20 - 85%||1000:1|80000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
IIyama 17 PL B1780SD-B1 MONITOR LED||||39,95 cm|||||Si|||||170°|160°||Kensington||||Audio (3.5mm), DVI, VGA|||CE, TÜV, VCCI-B, TCO, GOST-R|Si|Non specificato|||Nero||16,77M||||100 x 100 mm||||||||||14W|||0,5W||||||||||||||||"['43 cm', '43,18 cm (17"")']"||0,264 x 0,264 mm||5:4|No|50/60 Hz||||||Si||Si||-3 - 22°|Si|||||||||55 - 75 Hz|||37 cm|||||CHI (SIMPL), CHI (TR), DEU, DUT, ENG, FRE, JPN, POL, RUS||250 cd/m²|||Si||||||Si|||2|9||Si|4,4 kg|||||||Si||||||1W|23 cm||||||1|||||1|24 - 80 kHz|||1000:1|5000000:1|13 cm||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|Si|||||||||||Si||TN||||5 ms||||||||||||LED|No||||||100 - 240V|
IIyama LED 27 PL XB2779QS-B1 QUAD-HD MONITOR LED|Si|||564.5 mm|||1||Si||-45 - 45 °|||178 °|178 °||Kensington|N|||AC, Audio (3.5mm), DisplayPort, DVI|||CE, TUV-Bauart, GOST-R, VCCI-B, PSE|Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N||||||3.5 mm|N||55 W|||0.5 W|||||||||685.8 mm|335.7 mm|596.7 mm|||||"['685.8 mm (27 "")', '68.58 cm']"||0.233 x 0.233 mm||16:9|N|50/60 Hz|30 - 80 kHz|55 - 75 Hz|||Si|Si||Si||0 - 17 °|Si||||||||Si|55 - 75 Hz|||650 mm|||||CHI (SIMPL), CHI (TR), DEU, ENG, FRE, JPN, POL, RUS||440 cd/m²|||||||||Si|||2|9||Si|8.2 kg||||||Si|Si||||||4 W|230 mm||||1|2|2|2||||2|30 - 80 kHz|||1000:1|5000000:1|130 mm||||2560 x 1440 Pixels|||2560 x 1440|N|Si||||Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate|.|||N||Si||IPS||||5 ms||N||||||||||LED|Full HD||||||100 - 240 V|
Acer LED 22 B226WLymdr Wide MONITOR LED||||505.7 mm|||||Si|||||170 °|160 °|||||||||TCO 6.0||Non specificato|||Grigio||16.77 M|||||N|||||Oro||||24.2 W|||17.2 W||||||||||||||||"['55.9 cm', '558.8 mm (22 "")']"||||16:10|N|||||||||Si|||||||||||||||534.2 mm|||||||250 cd/m²||||||||||||2||||3.09 kg||5.75 kg||||||||||||221.2 mm|||||||||||1|||||100000000:1|Si||||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)||||N|||.|||||||||||5 ms||N||||||||||LED|HD-ready||||||110 - 220 V|
Acer 23 B236HLymdpr|Si||||||||Si|||||178 °|178 °||||||AC, DisplayPort, DVI, VGA|||||Non specificato|||Grigio||16.77 M||||N|N|||||Oro||||21.9 W||0.35 W|0.45 W||||||||||||||||"['58.4 cm', '584.2 mm (23 "")']"||||16:9|N|||||||||||||Si||||||||||||||Si||||250 cd/m²|||||||||N|||2|||||||||||Si||||||||||||||||||1|||||100000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||IPS||||5 ms||N||||||PC monitor||||LCD|Full HD||||||110 - 220 V|
ASUS LED 23 VX238T 5ms.VGA.DVI MONITOR LED|Si||||402.7 mm|488 mm|||Si|||||170 °|160 °||Kensington||||AC, Audio (3.5mm), DVI, VGA|||BSMI, CB, CCC, CE, China Energy Label Level 1, C-Tick, ErP, FCC, Gost-R, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7, Windows Vista)|Si|Non specificato|||Nero||16.77 M|||||N|||||||||34 W|0.5 W|0.5 W|||||Digitale||||||||||||"['584.2 mm (23 "")', '58.4 cm']"||0.2652 x 0.2652 mm||16:9|N|50/60 Hz|30 - 80 kHz|56 - 76 Hz||Si||Si||Si||-5 - 20 °||Si|||Si||||Si|||||548.2 mm|600 mm|Si||||250 cd/m²||||||||||||2||1 pezzi|Si||4.1 kg|2.6 kg|||||Si|||Orizzontale|||3 W||210 mm|125 mm||||1|||||1|||||80000000:1|N||4:3, 16:9||1920 x 1080 Pixels|1920 x 1080 Pixels||1920 x 1080 (HD 1080)||||N||Si|.|||||||||||5 ms||N||||||||||LED|Full HD||||||100 - 240 V|
Asus 23.8 VN248H IPS MONITOR LED|Si|||393 mm||476 mm|1||Si|||||178 °|178 °||Kensington||||||||Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|||||||3.5 mm|||23 W|||1 W||||||||||||||||"['604.5 mm (23.8 "")', '60.5 cm']"||0.2745 x 0.2745 mm||16:9|||30 - 80 kHz|55 - 75 Hz||||||Si||-5 - 20 °|Si|Si|||||||||||554.5 mm||610 mm|||||250 cd/m²||||||Si|Si||Si|||2|||Si|4 kg|||||||N||||||4 W|194.2 mm||130 mm|||||2||||1|||||80000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||||.|||||||IPS|||Si|5 ms||||||||||||LED|Full HD|||||||
Acer LED 19 B196Lymdr MONITOR LED||||519.2 mm|||||Si||-60 - 60 °|||170 °|160 °||Kensington|||||||CE, TÜV GS, ISO9241-307, TCO6.0|Si|Non specificato|||Grigio||16.77 M||||100 x 100 mm||||||||||15.8 W||0.35 W|0.45 W||||||||||376 mm|301 mm|||||"['482.6 mm (19 "")', '48 cm']"||0.294 x 0.294 mm||5:4|N||||||Si|||Si||-5 - 35 °|Si||||||||||||406.4 mm|||||||250 cd/m²|||||||||Si|||2||||5.33 kg|||||||N||||||1 W|221 mm|||||||||||1|||||100000000:1|150 mm||||1280 x 1024 Pixels|||||||N|||.|||||||TN+Film||||5 ms||N||||||PC monitor||||LCD|N||||||100 - 240 V|
LG 27 27MB65PY-B IPS MONITOR LED||||38,7 cm|41 cm|46,7 cm|||Si|||||178°|178°|||No|||AC, Audio (3.5mm), DisplayPort, DVI, VGA|||TCO UL(cUL) TUV-GS TUV-Ergo FCCB, CE EPA 6.0 ISO13406-2||Non specificato|No||Nero||16,77M||||100 x 100 mm|No|||||Oro||No||27W||0,3W|0,3W||||||||||||||||"68,58 cm (27"")"||0,311 x 0,311 mm||16:9||50/60 Hz|||||Si|Si||Si||5 - 35°|Si|Si|Si||Si||||Si|56 - 75 Hz|||64,4 cm|64,4 cm|72,1 cm|Si||||250 cd/m²|||Si|||||1080p|Si|||2|17||Si|5,9 kg|9,3 kg|6,5 kg||0 - 90°||Si|Si||||||2W|6,4 cm|25,9 cm|21,6 cm|||1|1|||2||1|30 - 83 kHz|||1000:1|Contrasto Mega|8 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||||||||||||IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC LED 23 E2360SDA MONITOR LED|Si|||394.7 mm|||||Si|||||170 °|160 °||Kensington|N||||||cCSAus, CE, EuP, FCC, GOST, ISO 9241-307, RoHS, TCO 5.0, TÜV-GS|Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N|||||Argento||N||25 W||0.5 W|0.5 W||||||||||509.76 mm|286.74 mm|||||"['584.2 mm (23 "")', '58.4 cm']"||0.265 x 0.265 mm|146 MHz|16:9|N|50/60 Hz|30 - 83 kHz|55 - 75 Hz|||N|||Si||-5 - 15 °|Si||||||||Si||||548.5 mm||||N|||250 cd/m²|||||N|N|||Si|||1|||N|3.73 kg||5.07 kg||||Si||||||||209.4 mm||||||1|||||1||||1000:1|20000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N|||.|||||||||||5 ms||N|N|||||||||LED|Full HD||||||90 - 240 V|
