3d compatibility|<page title>|ac adapter included|ac power in|active display area w x h|annual energy consumption|aspect ratio|audio input|audio output|audio system|backlight type|bezel width bottom|bezel width side|bezel width top|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable length|cable lock slot|cables included|camera included|card reader integrated|certification|child lock|color gamut|colour of product|common interface ci|common interface plus ci|compatibility|compatible memory cards|compatible operating systems|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|current rating|dcin jack|depth|depth max|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|effective viewing area|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan data rates|ethernet lan rj45 ports|feet colour|full hd|glass thickness|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height adjustment range|height max|height with stand|horizontal scan range|input current|input frequency|input voltage|interface type|led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum analog resolution|maximum resolution|maximum screen size compatibility|maximum weight capacity|mean time between failures mtbf|megapixel|microphone in|mini displayport quantity|minimum screen size compatibility|mobile highdefinition link mhl|mounting interface|native resolution|nonoperating altitude|number of colours|number of displays supported|number of loudspeakers|number of osd languages|number of products included|number of simultaneous touchpoints windows 7|omnitapps multitouch compatibility|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pan range|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption active|power consumption average|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|power supply type|product type|quantity|quick start guide|recyclable material|relative humidity|response time|rms rated power|rohs compliance|rotating|rotation|rs232 ports|safety|screen format adjustments|screen saving functions|screen size compatibility|security features|separate hv sync|speakers|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|touch screen type|touch sensitive screen|touchscreen technology|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|usb required|usb version|user guide on cdrom|vertical scan range|vesa mounting interfaces compatibility|vga dsub input ports|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle|viewing angle horizontal|viewing angle vertical|voltage tolerance|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
No|Acer Everyday G236HLBbid - MBE||Yes|||16:9||||||||No|['No', 'No', 'No']||['No', 'No', 'No']||||['AC', 'AC']|||MPR II|||['Black', 'Black']|||||||||||100000000:1||||16.92 cm|||||||LED|200 cd/mÂ²|"58.42 cm (23"")"|58.5 cm|16.77M|1920 x 1080 pixels|||TN+Film|||||1||||Yes||No||||||||Full HD|Yes|['Yes', 'Yes']|1|||||38.37 cm|No||||30 - 80 kHz||50/60 Hz|100 - 240V|||['Yes', 'Yes']|['Yes', 'Yes']|['Yes', 'Yes']|['Yes', 'Yes']|||||['30000h', '30000h']|||||||||||||['1 pc(s)', '1 pc(s)']|||||['Yes', 'Yes']||0 - 40%|10 - 80 Â°C||||||||||No||0.265 x 0.265 mm|['Horizontal', 'Horizontal']|['Yes', 'Yes']||||||0.53W|23.9W||['Yes', 'Yes']|||||['Yes', 'Yes']|||5 ms|||||||||||||['Yes', 'Yes']|5 - 90%|-20 - 60 Â°C|1920 x 1080 (HD 1080)|1080p, 720p||||No||No|Yes|-5 - 15Â°||||['No', 'No']|||||||55 - 75 Hz|No||1|||50.98 cm|28.68 cm||100Â°|90Â°||||2.4 kg||54.8 cm||No|['Yes', 'Yes']
No|ASUS VS24AH 24 INCH IPS LED 1920 X 1080 VGA DVI HDMI MULTIMEDIA 100 X 100 VESA BLACK - MBE||Yes|||16:10||||||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|||||||['Black', 'Black']|||||||||||80000000:1|||Yes|||20.55 cm|30 - 83 kHz|55 - 61 Hz|||LED|300 cd/mÂ²|"61.21 cm (24.1"")"|61.13 cm|16.77M|1920 x 1200 pixels|||LCD||||Yes|1|||Unspecified|Yes|Gold|No||||||||Full HD|No||||3.5 mm||1||No|||44.09 cm|||||||||||||||||||||||||||||||['Yes', 'Yes']||['Yes', 'Yes']|||||['6.8 kg', '6.8 kg']|['14 cm', '14 cm']|['49.5 cm', '49.5 cm']|['63.8 cm', '63.8 cm']|||||Yes||||||||||0.5W|30W||['Yes', 'Yes']||||||||5 ms|||||||||||||['Yes', 'Yes']|||1920 x 1200 (WUXGA)|||||||No|Yes|-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes||4.6 kg||56.16 cm|No|
|Acer Everyday K242HL - MBE|||||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']||||||||||['Black', 'Black']|||||||||||100000000:1||||5.2 cm||20.7 cm|||||LCD|250 cd/mÂ²|"60.96 cm (24"")"|609 cm|16.77M|1920 x 1080 pixels|||TN+Film||||Yes||||Unspecified||Gold||||||||||Yes|||||||33.59 cm|No|||42.19 cm|30 - 80 kHz|||110 - 220V|||||||||||['30000h', '30000h']|||||||||||||||||||||||||||||||||0.276 x 0.276 mm||||||||0.35W|20.09W||||||||||5 ms||||||||||||||||1920 x 1080 (HD 1080)|||||||No||-5 - 25Â°||||['No', 'No']|||||||55 - 75 Hz|100 x 100 mm||1|||53.1 cm|29.9 cm||176Â°|170Â°|||Yes|3.1 kg|3.57 kg|56.7 cm|56.7 cm||['Yes', 'Yes']
No|AOC M2870VQ 28 Widescreen LED Monitor - Black - MBE||Yes|||16:9||||W-LED||||No|||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, Audio (3.5mm), HDMI, VGA', 'AC, Audio (3.5mm), HDMI, VGA']|||CE, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÃœV-GS|||['Black', 'Black']|||||||||||50000000:1|1000:1|||||24.19 cm|30 - 83 kHz|50 - 76 Hz|||LED|300 cd/mÂ²|"71.12 cm (28"")"|71.1 cm|16.77M|1920 x 1080 pixels|||WVA|||1|Yes|1|||Unspecified|Yes|Silver|No||||||||Full HD|Yes||1||||||No|||45.18 cm|||50 Hz|100 - 240V|||['Yes', 'Yes']||||||||||||||||||||||||['Yes', 'Yes']||['Yes', 'Yes']|||||['7.3 kg', '7.3 kg']|['13.7 cm', '13.7 cm']|['49.2 cm', '49.2 cm']|['73.8 cm', '73.8 cm']|||||No||0.311 x 0.311 mm||['No', 'No']||||0.5W||0.5W|27W||['Yes', 'Yes']||||||||5 ms|||||||||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|1080p||||No||No|Yes|-5 - 25Â°||||||||||['Yes', 'Yes', 'Yes']||100 x 100 mm||1|||59.789 cm|33.631 cm||178Â°|178Â°|||Yes||5.3 kg|66.51 cm|66.51 cm|No|
|HP EliteDisplay E241i - MBE|||||16:10|||||||||||||||||||||['Silver', 'Silver']|||||||||||5000000:1|1000:1|||5.5 cm||27.62 cm|||||LCD|250 cd/mÂ²|"60.96 cm (24"")"|61 cm||1920 x 1200 pixels|||IPS|||1|Yes|1|||Unspecified|Yes|Gold||||||||||Yes|||||||36.26 cm||||51.656 cm||||||||||||||||||||||||||||||||||||||||||||||||0.27 x 0.27 mm||||||||0.5W|35W||||||||||8 ms|||||||||||||||||||-180 - 180Â°||Yes||No||-5 - 30Â°||||['No', 'No']|3|||||||||1||||||178Â°|178Â°||||6.58 kg||55.6 cm|55.6 cm||
|Iiyama ProLite B2481HS-B1 - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|||||||['Black', 'Black']|||||||||||5000000:1|1000:1|||24.45 cm|||||||LCD|250 cd/mÂ²|"59.94 cm (23.6"")"||16.77M|1920 x 1080 pixels|||TN+Film||||Yes|1||||Yes||||||||||Full HD|Yes||1|||||40.5 cm|['13 cm', 'Yes']||||24 - 80 kHz||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']||||||||||||||||||||Yes|0 - 90Â°|0.2715 x 0.2715 mm|||||||||22W||||||||||2 ms|['2W', '2W', '2W']||||||||||Yes||||||||-160 - 160Â°||||No||-5 - 22Â°||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1|||52.128 cm|29.322 cm||178Â°|170Â°|||Yes|5.5 kg||54.35 cm|||
|Iiyama ProLite T1931SR-1 - MBE|||||5:4|||||||||||||||AC, Audio (3.5mm), DVI, RS-232, USB|||['CE, TÃœV-Bauart, Gost-R, VCCI', 'CE, TÃœV-Bauart, Gost-R, VCCI']|||['White', 'White']|||||['Mac OS9, OSX', 'Mac OS9, OSX']|||||||900:1|||||||||['431 x 218 x 391 mm', '431 x 218 x 391 mm']|TN+Film|200 cd/mÂ²|"48.26 cm (19"")"|||1280 x 1024 pixels|||||301 x 376 mm|||1|||||||||||||||||||||||||||31.5 - 80 kHz||||||||['Mac OS 9.0, Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion, Y', 'Mac OS 9.0, Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion, Y']|||||||||||||||16.7M||||||['No', 'No']|['Yes', 'Yes']|||||||||||||||||0.294 x 0.294 mm||['Yes', 'Yes']|||||25W|||||['AC 100-240V@50/60Hz', 'AC 100-240V@50/60Hz']|||||||5 ms|||||1|||||['Kensington-lock', 'Kensington-lock']|Yes|['2x 1W', '2x 1W']|||||||||||||['-5 - 90Â°', '-5 - 90Â°']|['Tabletop', 'Tabletop']||Resistive||1||||||56 - 75 Hz|100 x 100 mm||1||48 cm|||['85Â°', '85Â°']|170Â°|160Â°|||Yes|6.5 kg|||||
No|Acer Essential V246HLbd - MBE||Yes|||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']||||['AC, VGA', 'AC, VGA']|||TCO|||['Black', 'Black']|||||||||||100000000:1||||5.2 cm||20.68 cm|||||LCD|250 cd/mÂ²|"60.96 cm (24"")"|61 cm|16.77M|1920 x 1080 pixels|||||||Yes||||||Gold|||||||||Full HD|Yes|||||||33.59 cm|Yes|||42.22 cm||||110 - 220V|||||||||||||||||||||||||||||['Yes', 'Yes']|||||||||||||||||||||0.35W||0.45W|20.9W||['Yes', 'Yes']||||||||5 ms|||||||||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|||||||No||||||['No', 'No']||||||||||1||||||170Â°|160Â°||||3.9 kg|3.5 kg|56.7 cm|56.7 cm||
No|ASUS VE228TR LED display - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|||||||['Black', 'Black']|||||||||||80000000:1||||5.69 cm|||30 - 83 kHz|50 - 76 Hz|512.84 x 201.82 x 385.96 mm||LED|250 cd/mÂ²|"54.61 cm (21.5"")"||16.77M|1920 x 1080 pixels||||||||1|||Unspecified|Yes||||||||||Full HD|Yes|||||||30.551 cm|||||||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']||||||||||||['6.1 kg', '6.1 kg']|['14.8 cm', '14.8 cm']|['46.8 cm', '46.8 cm']|['57.6 cm', '57.6 cm']|||||||0.248 x 0.248 mm||||||||0.5W|35W||||||||||5 ms|['2W', '2W', '2W']|||||||||||||||1920 x 1080 (HD 1080)|||||||No||-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|4.1 kg||51.284 cm|||
No|NEC P232W - MBE||Yes|||16:9||||||1.62 cm||No|['No', 'No', 'No']||||||['AC, DVI, VGA', 'AC, DVI, VGA']|||TUV, MPR III, PCBC/B|||['Black', 'Black']||||||TCO 5.2||||||1000:1|||22.76 cm|||||||LCD|250 cd/mÂ²|"58.42 cm (23"")"|58.4 cm|16.77M|1920 x 1080 pixels|||IPS|||1||1||||Yes||No||||||||Full HD|Yes|['Yes', 'Yes']|1|||||48.74 cm|['Yes', '15 cm']||||31.5 - 83 kHz||50/60 Hz|100 - 240V|||['Yes', 'Yes']|||['Yes', 'Yes']||||||||||||||||||['1 pc(s)', '1 pc(s)']|||||['Yes', 'Yes']||20 - 80%|5 - 35 Â°C||||||||||Yes|0 - 90Â°|0.265 x 0.265 mm|['Horizontal', 'Horizontal']|['Yes', 'Yes']|||29W||18W|1W|23W||['Yes', 'Yes']|||||['Yes', 'Yes']|||8 ms||||||RoHS|||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|1080p, 720p||-45 - 45Â°||||No||-5 - 30Â°||||['No', 'No']|||||||50 - 85 Hz|100 x 100, 200 x 100 mm||1||||||178Â°|178Â°|||Yes|9.2 kg||54.36 cm|||['Yes', 'Yes']
|Iiyama ProLite B2280WSD-W1 - MBE|||||16:10|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|||||||['White', 'White']|||||||||||5000000:1|1000:1|||24.45 cm|||||||LCD|250 cd/mÂ²|"55.88 cm (22"")"||16.77M|1680 x 1050 pixels|||TN+Film|||||1|||Unspecified|Yes||||||||||HD-Ready|No|||||||42.35 cm|['13 cm', 'Yes']||||24 - 80 kHz||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']||||||||||||||||||||Yes|0 - 90Â°|0.282 x 0.282 mm|||||||||21W||||||||||5 ms|['2W', '2W', '2W']||||||||||Yes||||||||-160 - 160Â°||||No||-5 - 22Â°||||['No', 'No']|||||||55 - 75 Hz|100 x 100 mm||1|||47.37 cm|29.61 cm||178Â°|170Â°|||Yes|5.5 kg||51.25 cm|||
No|ASUS PA238Q 23 INCH IPS LED PRO ART 1920 X 1080 VGA DVI DISPLAY PORT HDMI HEIGHT ADJUST PIVOT 100 X 100 V - MBE||Yes|||16:9|Yes||||||||['No', 'No', 'No']|||||['Kensington', 'Kensington']|['AC, AV, DisplayPort, DVI, USB, VGA', 'AC, AV, DisplayPort, DVI, USB, VGA']|||UL/cUL, CB, CE, ErP, FCC(Class B), CCC, BSMI, Gost-R, C-Tick, VCCI, TCO5.2, TUV-GS, TUV-Ergo, ISO-9241-307, PSB, J-MOSS, RoHS, WEEE|||['Black', 'Black']|||||||||||50000000:1||||20.1 cm|||24 - 83 kHz|50 - 75 Hz||||250 cd/mÂ²|"58.42 cm (23"")"||16.77M|1920 x 1080 pixels|Yes|||||1||1||||Yes||No||||||||Full HD|Yes||1||3.5 mm||1|49.57 cm|||||||||||||['Yes', 'Yes']||||||||||||||||||||||||||||671 x 253 x 386 mm|['7.8 kg', '7.8 kg']|['25.3 cm', '25.3 cm']|['38.6 cm', '38.6 cm']|['67.1 cm', '67.1 cm']||||['Yes', 'Yes']|Yes||0.2652 x 0.2652 mm|||||||1W||33W|||||||['Yes', 'Yes']|||6 ms||||||||||||||||1920 x 1080 (HD 1080)|1080p||0 - 180Â°||||No||20 - -5Â°||||['No', 'No']|5|||||||100 x 100 mm||1||58.4 cm||||178Â°|178Â°|||Yes|5.5 kg||54.88 cm|||['Yes', 'Yes']
|Elo TouchSystems 2201L - MBE|||||16:9|1|||LED|||||||['Yes', 'Yes']|||||||['C-Tick, cUL, IC, CCC, CE, VCCI, KCC, e-Standby, NOM, BSMI, UL, FCC, CB, RoHS, China RoHS, WEEE, IMERC', 'C-Tick, cUL, IC, CCC, CE, VCCI, KCC, e-Standby, NOM, BSMI, UL, FCC, CB, RoHS, China RoHS, WEEE, IMERC']|||['Black', 'Black']||||||||||||1000:1|||||||||||225 cd/mÂ²|"55.88 cm (22"")"|||1920 x 1080 pixels||||LCD|477 x 268 mm|||1||||||||||Yes||||||||Yes|||1||||||32 - 80 kHz|||||Yes||||||||||||||||['1920 x 1080', '1920 x 1080']||16.7M||['2', '2']|||||['Yes', 'Yes']||||20 - 80%|0 - 40 Â°C|['520 x 690 x 280 mm', '520 x 690 x 280 mm']|['12500g', '12500g']|||||||||||||||||||29W||||['DC', 'DC']||||||5 ms||||||||||||||10 - 90%|-20 - 60 Â°C|['720 x 576, 1280 x 960, 1366 x 768, 1440 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)', '720 x 576, 1280 x 960, 1366 x 768, 1440 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)']||||||||||||||1||||||50 - 75 Hz|100 x 100, 200 x 100 mm||1||||||170Â°|160Â°|||Yes|7.5 kg|||||
|Elo TouchSystems 1915L - MBE|||||5:4||||||||||||||||['No', 'No']||['UL/cUL, TÃœV-GS, CE, FCC/IC/VCCI, C-Tick Class B', 'UL/cUL, TÃœV-GS, CE, FCC/IC/VCCI, C-Tick Class B']|||['Grey', 'Grey']||||||||||||1000:1||||||||429 x 207 x 379 mm|||240 cd/mÂ²|"48.26 cm (19"")"|||1280 x 1024 pixels||||LCD|376.3 x 301.1 mm|||||||||||||No||||||||No|||||||||31.5 - 80 kHz||||||||||||||['50000h', '50000h']|||||||['1280 x 1024', '1280 x 1024']||16.7M|||||||['Yes', 'Yes']||||20 - 80%|0 - 40 Â°C|['540 x 495 x 285 mm', '540 x 495 x 285 mm']|['11700g', '11700g']|||||||||||||||||||50W|||['85 - 265 VAC, 47 â€“ 63 Hz', '85 - 265 VAC, 47 â€“ 63 Hz']|['AC', 'AC']||||||5 ms|||||1|||||||||10 - 90%|-20 - 60 Â°C|||||||||||||||1||||||56.3 - 75 Hz|100 x 100 mm||1||||||160Â°|155Â°|||Yes|7.9 kg|||||
|Hanns.G HP227DJB LED display - MBE|['Yes', 'Yes']||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['VGA', 'VGA']|||CE, CB, TUV-GC|||['Black', 'Black']|||||||||||50000000:1|1000:1|||49.35 cm|||||||LED|250 cd/mÂ²|"54.61 cm (21.5"")"||16.77M|1920 x 1080 pixels||Matt|||||Yes|1|||Unspecified|Yes||||||||||Full HD|Yes|||||||21.72 cm|Yes||||30 - 83 kHz||50/60 Hz|100 - 240V||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']|||||['Yes', 'Yes']|['DEU, DUT, ENG, ESP, FRE, ITA, JPN, KOR, POR, RUS', 'DEU, DUT, ENG, ESP, FRE, ITA, JPN, KOR, POR, RUS']|||20 - 85%|5 - 35 Â°C||['5.17 kg', '5.17 kg']|['17.2 cm', '17.2 cm']|['43.3 cm', '43.3 cm']|['57.8 cm', '57.8 cm']||Yes|||||0.248 x 0.248 mm||||||0.5W||0.5W|24W|||||||['Yes', 'Yes']|||5 ms|['3W', '3W', '3W']|||||||||||||||1920 x 1080 (HD 1080)|||||||No|Yes|-5 - 15Â°||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1||||||170Â°|160Â°|||Yes|3.81 kg||51.28 cm|||
No|NEC EA224WMi - MBE||Yes|||16:9||||W-LED|||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, USB, VGA', 'AC, Audio (3.5mm), DVI, USB, VGA']|||TCO 5.2; TÃœV; TÃœV GS; GEEA; FCC B; PCT/Gost; UL/C-UL; CSA; ISO 9241-307; MPR III|||['White', 'White']|||||||||||25000:1|1000:1|||||21.8 cm|31.5 - 83 kHz|56 - 75 Hz|||LED|250 cd/mÂ²|"54.61 cm (21.5"")"|54.61 cm|16.77M|1920 x 1080 pixels|Yes||IPS|||1||1||||Yes|Gold|||||||||Full HD|Yes|['Yes', 'Yes']|1||3.5 mm||1||['13 cm', 'Yes']|||37 cm|||||||||['Yes', 'Yes']|['Yes', 'Yes']||['1920 x 1080 pixels', '1920 x 1080 pixels']||||||||||||||['2', '2', '2']||['1 pc(s)', '1 pc(s)']|||['Yes', 'Yes']||['Yes', 'Yes']||20 - 80%|5 - 35 Â°C||||||||||||0.247 x 0.247 mm|['Horizontal/Vertical', 'Horizontal/Vertical']|['Yes', 'Yes']|||26W||0.43W||15W||['Yes', 'Yes']||||||||14 ms|['2W', '2W', '2W']|||||||['Yes', 'Yes']|||||['Yes', 'Yes']|||1280 x 960, 1440 x 1050, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1360 x 768 (WXGA), 1366 Ñ… 768, 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)|||-170 - 170Â°||||||-5 - 30Â°|||||5|||||||100 x 100 mm||1||||||178Â°|178Â°||['Digital', 'Digital']|Yes||5.6 kg||50.7 cm||['Yes', 'Yes']
|Acer Everyday 276HL - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||||||MPR II|||['Black', 'Black']|||||||||||100000000:1|||||||||||LED|250 cd/mÂ²|"68.58 cm (27"")"|68.6 cm|16.77M|1920 x 1080 pixels|||LCD||||Yes||||Unspecified||Gold|||||||||Full HD|||||||||||||||60 Hz|110 - 220V||||||||||||||||Yes|||||||||||||||||||||||||||||||||||||29.03W||||||||||5 ms||||||||||||||||1920 x 1080 (HD 1080)|||||||||||||||||||||||1||||||178Â°|178Â°|||||||||
No|Benq BL2405HT - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']||||||||||['Black', 'Black']|||||||||||12000000:1|1000:1|||21.3 cm||||||||250 cd/mÂ²|"60.96 cm (24"")"||16.77M|1920 x 1080 pixels|||||||Yes||||Unspecified|||||||||||Full HD|Yes||1||||1|35 cm|['Yes', '11 cm']||||||||||||||||||||||||||||||['17', '17']||||['No', 'No']|||||||||||||||||||||||||0.3W|42W||||||||||5 ms|||||||||||||||||||||Yes|||Yes|||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|5.1 kg||57.9 cm|||['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64']
No|AOC i2757FM 27 INCH WIDE LED IPS VGA 2 X HDMI SPEAKERS MHL CONNECTION FOR ANDRIOD PHONES - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['No', 'No']|['AC, HDMI, VGA', 'AC, HDMI, VGA']|||TÃœV, ISO 9241-307, cCSAus, CE, FCC||||||||||||||20000000:1|1000:1|||13 cm|||||||LED|250 cd/mÂ²|"68.58 cm (27"")"|68.6 cm|16.77M|1920 x 1080 pixels|||IPS|||||||||Yes||||||||||Full HD|No||1|||||44.9 cm|No||||||50/60 Hz|100 - 240V||||||||||||||||||||||||||||||||||||||||||||0.311 x 0.311 mm|||||||||||||||||||5 ms||||||||||||||||1920 x 1080 (HD 1080)|||||||No||||||['No', 'No']|1|||||||No||1|||59.789 cm|33.631 cm||178Â°|178Â°|||No|||62.2 cm|||
|Elo TouchSystems 1717L Rev B - MBE|||||5:4|||||||||||||||||||||['White', 'White']||||||||||||800:1||||||||392 x 215 x 361 mm|||200 cd/mÂ²|"43.18 cm (17"")"|||1280 x 1024 pixels||||LCD|338 x 270 mm||||||||||||||['4.3 cm', '4.3 cm']||||||||||||||||31.5 - 80 kHz||50/60 Hz|100 - 240V||Yes|||||||||['50000h', '50000h']|||||||||16.7M|||8|||||CHI (SIMPL), CHI (TR), DEU, ENG, ESP, FRE, ITA, JPN|||20 - 80%|0 - 40 Â°C||['8.3 kg', '8.3 kg']|23.3 cm|51 cm|51.1 cm||||||||||||||||20W||||['AC/DC', 'AC/DC']||||||5 ms|||||1|||||||||10 - 90%|20 - 60 Â°C|['720 x 400, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 640 x 480 (VGA), 800 x 600 (SVGA)', '720 x 400, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 640 x 480 (VGA), 800 x 600 (SVGA)']||||||||||['Tabletop', 'Tabletop']||||1||||||56 - 75 Hz|75 x 75 mm||1||||||170Â°|160Â°|5%||||5.4 kg||||
No|Iiyama ProLite E2283HS-B1 LED display - MBE||Yes|||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']|||TCO, CE, TUV-GS, VCCI-B, CU|||['Black', 'Black']|||||||||||5000000:1|1000:1|||||19.3 cm|||||LED|250 cd/mÂ²|"54.61 cm (21.5"")"||16.77M|1920 x 1080 pixels|||TN||||Yes|1|||Unspecified|Yes|Silver|||||||||Full HD|Yes||1|||Yes|||No|||38.25 cm|30 - 80 kHz||50/60 Hz|100 - 240V|||||['Yes', 'Yes']|||||||||||||||||['2', '2', '2']|['11', '11']||||['Yes', 'Yes']|['CHI (TR), CZE, DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS', 'CHI (TR), CZE, DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS']||||||||||||||||0.248 x 0.248 mm||['Yes', 'Yes']||||||0.5W|21W|||||||['Yes', 'Yes']|||2 ms|['2W', '2W', '2W']||||||||||Yes|||||1920 x 1080 (HD 1080)|||||||No|Yes|||||['No', 'No']|||||||55 - 75 Hz|100 x 100 mm||1|||47.66 cm|26.81 cm||170Â°|160Â°|||Yes||3 kg||50.55 cm||['Windows 2000, Windows 7 Home Basic, Windows 8, Windows 95, Windows 98, Windows ME, Windows Vista Home Basic, Windows XP Home', 'Windows 2000, Windows 7 Home Basic, Windows 8, Windows 95, Windows 98, Windows ME, Windows Vista Home Basic, Windows XP Home']
