3d technology|3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product code|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
||D7Q13A4#ABU, 2994898, HP, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|HP|250 cd/m²|USB Hub|CSA VCCI C-Tick BSMI GOST cUL GS NOM WHQL CB PSB MIC FCC S Mark CEL CE CEL Grade 1 FCC ISC CCC|Black|16.7 Million Colours|||5,000,000:1||51 mm|242.90 mm||Yes|Yes|||Security Lock|||['WEEE', 'ENERGY STAR 5.0', 'TCO Certified Displays 6.0', 'TÜV', 'TCO Certified Edge', 'TCO Certified Displays', 'ENERGY STAR', 'EPEAT Gold', 'RoHS']|Yes|Yes|||329 mm|469.90 mm||178°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|D7Q13A4#ABU|150 mm|1920 x 1080|||1|||36 W|Z Display Z23i 58,4 cm (23'') IPS LED Backlit Monitor (ENERGY STAR) (D7Q13AT) AC power cord USB cable DVI cable DisplayPort cable Documentation CD HP Display Assistant software|||In-plane Switching (IPS) Technology||28.6%|||Z23i|Z Display Z23i 58,4 cm (23'') IPS LED Backlit Monitor (ENERGY STAR) (D7Q13AT)||LCD Monitor|Yes|98.5% Plastic|8 ms|Full HD|"58.4 cm (23"")"|Anti-glare||||76 Hz|500 mW||360°|||-5°to30°|Yes|USB 2.0|178°|||Yes|||6.40 kg|544 mm|544 mm
||220B4LPCB/00, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Philips|250 cd/m²|['USB Hub', 'Speaker']|BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||1,000:1||59 mm|227 mm|||Yes|||['SmartImage', 'Security Lock']|||['WEEE', 'EPEAT Gold', 'RoHS', 'ENERGY STAR 5.0', 'TCO Certified Edge']|Yes|Yes||Yes|349 mm|509 mm||170°|['110 V AC', '220 V AC']||Philips Electronics|220B4LPCB/00||1920 x 1080|||1|2||15.80 W|||||['PC', 'Mac']|65%||Brilliance|220B4LPCB|Brilliance LCD Monitor, LED Backlight with PowerSensor|B|LCD Monitor|Yes|Plastic|5 ms||"55.9 cm (22"")"||||Yes|60 Hz|300 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||3.38 kg|5.20 kg|504 mm|504 mm
||273E3LHSB/00, Philips, LCD Monitor, JR Linton|||||16:9|LED|Philips|390 cd/m²|Speaker||Black||||20,000,000:1||||||Yes|||||||||Yes|||||176°|||Philips Electronics|273E3LHSB/00||1920 x 1080|||1||||||||||||273E3LHSB|273E3LHSB Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"||||Yes||||||||||170°|||Yes|||||
||190S1CB/00, Philips, LCD Monitor, JR Linton||Yes|Yes||16:10||Philips|250 cd/m²||BSMICE MarkFCC Class BGOSTSEMKOTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||25,000:1||68 mm|201 mm|||Yes|||['Security Lock', 'TrueVision', 'SmartImage']|||"['RoHS', 'ENERGY STAR 5.0', ""TCO '03"", 'EPEAT Silver']"|Yes|Yes|||305 mm|421 mm||176°|['220 V AC', '110 V AC']||Philips Electronics|190S1CB/00||1440 x 900|||1||500 mW|17.10 W|||||['Mac', 'PC']|||Brilliance|190S1CB|Brilliance LCD Monitor with SmartImage|S|LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|||||60 Hz|800 mW||||||||170°|Yes|100 x 100|Yes||3.40 kg|4.50 kg|436 mm|436 mm
||60003493, NECEA274WMIB, NEC Display Solutions, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|NEC Display|350 cd/m²|||Black|16.77 Million Colors|||1,000:1|||230 mm||Yes|Yes||||||['TCO Certified Displays', 'EPEAT Gold']|Yes||Yes|||417.90 mm||178°||3 Year|NEC Display Solutions|60003493||2560 x 1440|||1|||57 W||||In-plane Switching (IPS) Technology||||MultiSync|EA274WMi|EA274WMi Widescreen LCD Monitor|EA|LCD Monitor|||6 ms|WQHD|"68.6 cm (27"")"||||||800 mW||||||Yes||178°|||Yes|||8.70 kg||639.20 mm
||9H.LANLB.DWE, M352416, BenQ, LCD Monitor, JR Linton||Yes|No||16:9|LED|BenQ|250 cd/m²|||White|16.7 Million Colours|||3,000:1||193 mm||||Yes|||['Security Lock', 'Senseye 3']|||TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|392 mm|||178°|['220 V AC', '110 V AC']||BenQ Corporation|9H.LANLB.DWE||1920 x 1080|Wall Mountable||1|||28 W|VW2235H Widescreen LCD Monitor Phone/Card Docking|||Vertical Alignment (VA)|['Mac', 'PC']||||VW2235H|VW2235H Widescreen LCD Monitor|VW|LCD Monitor|||6 ms|Full HD|"54.6 cm (21.5"")"||||No||300 mW||||||||178°|Yes|100 x 100|Yes||3.90 kg||513 mm|
||UM.XG6EE.004, 8654C80, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Acer|200 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||33.5 mm|169.20 mm|||||||||MPR II|Yes||||277.3 mm|327.50 mm||90°|['220 V AC', '110 V AC']|2 Year|Acer, Inc|UM.XG6EE.004|No|1366 x 768|||1||400 mW|15 W|G196HQL Widescreen LCD Monitor1 x VGA CablePower Cord|||Twisted Nematic Film (TN Film)|||||G196HQL|G196HQL Widescreen LCD Monitor|G|LCD Monitor|||5 ms|WXGA|"47 cm (18.5"")"|Anti-glare||||60 Hz|450 mW||No|||-5°to15°|||65°|No||Yes||1.70 kg|2.23 kg|446.4 mm|446.40 mm
||F4M97AT#ABU, 943AGRP, HP, LCD Monitor, JR Linton||Yes|||5:4|LED|HP|250 cd/m²||FCC Class B VCCI BSMI CNS 13438 Class B CCIB cUL GS EN55022 Class B CCEE FCC Part 15 EN55024 Class B UL 60950-1 IEC 60950-1 EN 60950-1 ISO 9241-307 KCC CISPR GEEA CSA C22.2 No. 60950-1 KC|Black|16.7 Million Colours|||1,000:1||57 mm|206.30 mm||||||Security Lock|||['China Energy Label (CEL)', 'EuP', 'RoHS', 'TÜV', 'EPEAT Gold', 'ENERGY STAR', 'REACH', 'WEEE', 'TCO Certified Displays']|Yes||||316.6 mm|387.20 mm||170°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|F4M97AT#ABU||1280 x 1024|||1|||20 W|Business P17A LCD Monitor VGA Cable AC Power Cord DVD with user guide, Warranty, Drivers Service Phone List Card Warranty booklet HP Display Assistant software Auto-adjustment pattern utility Adobe Acrobat Reader software|||Twisted Nematic Film (TN Film)||||Business|P17A|Business P17A LCD Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"|Anti-glare||||60 Hz|500 mW|||||-5°to25°|||160°|||Yes|||3.72 kg|377.2 mm|377.20 mm
||LS23C65UDC/EN, 2773805, Samsung, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Samsung|250 cd/m²|['Speaker', 'USB Hub']|"UL (USA): UL 60950 1 CSA (Canada) CSA C22.2 No.. 60950-1 TUV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI-1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC:
FCC (U.S.) FCC Part 15 Subpart B class of A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea) KN22, KN24 C-Tick (Australia): AS/NZS3548 (CISPR22) CCC (China ): GB 9254-2008, GB 17625.1-2003"|Matte Black|16.7 Million Colours|||1,000:1||55.4 mm|224 mm||Yes|Yes|||['MagicRotation', 'MultiScreen', 'MagicTune', 'Off Timer', 'MagicBright 3', 'Mobile High-Definition Link (MHL)', 'Eco Saving']|||['TCO Certified Displays', 'ENERGY STAR', 'EPEAT Gold', 'Eco-label']|Yes||No||321.4 mm|479.65 mm||178°|['110 V AC', '220 V AC']|3 Year|Samsung|LS23C65UDC/EN||1920 x 1080|Wall Mountable||1||||"23"" S23C650D Series 6 LED Business Monitor D-Sub Cable USB Cable 1.5 m Power Cable Length E-manual Installation CD Quick Setup Guide"|||AD-PLS Technology|PC||||S23C650D|"23"" S23C650D Series 6 LED Business Monitor"|650|LCD Monitor|Yes|Plastic|5 ms|Full HD|"58.4 cm (23"")"||||No||||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||3.80 kg|5.45 kg|542.9 mm|542.90 mm
||LS19C45KMWV/EN, 2694921, Samsung, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Samsung|250 cd/m²|Speaker|UL: UL 60950-1CSA: CSA C22.2 No.60950-1TUV: EN60950-1, K60950-1CCC: GB 4943-2001PSB: IEC60950-1SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC Part 15, Subpart B class ACE EN55022, EN55024KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||54.8 mm|210 mm||No|Yes|||['MagicTune', 'MagicRotation', 'MultiScreen', 'MagicBright3', 'Off Timer', 'Eco Saving', 'MagicAngle']|||['TCO Certified Displays', 'ENERGY STAR', 'Eco-label', 'EPEAT Gold']|Yes||No||289.9 mm|423.20 mm||170°|['220 V AC', '110 V AC']|3 Year|Samsung|LS19C45KMWV/EN||1440 x 900|Wall Mountable||1|2||19 W|"19"" S19C450MW Series 4 LED Business MonitorD-sub CableAudio CablePower Cable Length 1.5 mE-ManualInstallation CDQuick Installation Guide"||||PC||||S19C450MW|"19"" S19C450MW Series 4 LED Business Monitor"|450|LCD Monitor|Yes|Plastic|5 ms|WXGA+|"48.3 cm (19"")"||||Yes||100 mW||||||||160°|Yes|100 x 100|Yes||2.75 kg|4.25 kg|439.4 mm|439.40 mm
||HP205DJB, V320104, Hannspree, LCD Monitor, JR Linton||Yes|Yes||16:9|LED|Hanns.G|250 cd/m²|Speaker||Black||||80,000,000:1||||||Yes|||||||||||||||||Hannspree, Inc|HP205DJB||1600 x 900|||1||||||||||||HP205DJB|HP205DJB Widescreen LCD Monitor||LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"||||Yes||||||||||160°|Yes|100 x 100|Yes|||||
||HP226DGB, V320085, Hannspree, LCD Monitor, JR Linton|||||16:9|LED|Hanns.G|220 cd/m²|||Black||||15,000:1||||||Yes||||||ENERGY STAR 5.0|Yes||||||||||Hannspree, Inc|HP226DGB||1920 x 1080|||1||||||||||||HP226DGB|HP226DGB Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"55.9 cm (22"")"|||||||||||||||||Yes|||||
||UM.WK3EE.005, PBVISEO223DXBD, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Packard Bell|200 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||52 mm|207 mm|||Yes||||||['EPEAT Gold', 'MPR II']|Yes|Yes|||304.5 mm|390.50 mm||90°|['220 V AC', '110 V AC']||Acer, Inc|UM.WK3EE.005|No|1920 x 1080|||1||350 mW|18.10 W|Viseo223DX Widescreen LCD Monitor1 x VGA CablePower Cord|||Twisted Nematic Film (TN Film)||||Viseo|Viseo223DX|Viseo223DX Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare||||60 Hz|450 mW||No|||-5°to25°|||65°|Yes|100 x 100|Yes||2.70 kg|3.10 kg|508 mm|508 mm
||R28LBUK, S602WG0, Lenovo, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Lenovo|250 cd/m²|['USB Hub', 'Microphone', 'Speaker']|TUV Green MarkUL Environment Gold|Raven Black|16.77 Million Colors|||1,000:1||56.4 mm|||Yes||||['Security Lock', 'Ambient Light Sensor']|||['TCO Certified Edge Displays 1.1', 'ENERGY STAR 6.0', 'EPEAT Gold']|Yes||||387.2 mm|||178°|['110 V AC', '220 V AC']|3 Year|Lenovo Group Limited|R28LBUK||1920 x 1080|||1|2||40 W||||Enhanced In-plane Switching (E-IPS) Technology|PC|||ThinkVision|LT2323z|LT2323z Wide 23inch e-IPS Flat Panel Monitor||LCD Monitor||||Full HD|"58.4 cm (23"")"||||Yes||500 mW||||||Yes|USB 3.0|178°|Yes|100 x 100||Yes|6.16 kg||545.3 mm|
||R72MCWL, S603KY1, Lenovo, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Lenovo|250 cd/m²||Safety: UL (USA) CSA /cUl(Canada) IEC EN60950 CB Report SEMKO NOM (Mexico) SASO (Saudia Arabia) TUV (Germany) CCC (China) Gost (Russia) Ukraine PSB(Singapore) BSMI KC (Korea) TUV -S(Argentina) KVALITET(Serbia) EMI: FCC B (USA) IC (Canada) CE (Europe) VCCI (Japan) KC (Korea) ANZ SABS(South Africa) BSMI (Taiwan) CCC (China) Ergonomic: GS ISO 9241-307 VOC e-Standby (Korea) CEL Grade 1||16.7 Million Colours|||1,000:1||241.3 mm|||Yes|Yes|||['Cable Management', 'Security Lock']|||['China Energy Label (CEL)', 'REACH', 'ULE Gold', 'ENERGY STAR 5.0', 'CECP', 'RoHS', 'MPR II', 'EPA', 'EPEAT Gold', 'Turkey RoHS', 'TCO Certified Edge Displays 1.1', 'China RoHS']|Yes||No||367.3 mm|||170°|['220 V AC', '110 V AC']|3 Year|Lenovo Group Limited|R72MCWL||1680 x 1050|||1||500 mW|26 W||||Twisted Nematic Film (TN Film)|PC|||ThinkVision|LT2252p|ThinkVision LT2252p 22-inch Wide LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||No|75 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||5.14 kg||506 mm|
||E2461FWH, 2613856, AOC, LCD Monitor, JR Linton||No|No||16:9|LED|AOC|250 cd/m²|||Black||||20,000,000:1||||||No|||||||||Yes||||||||AOC|E2461FWH||1920 x 1080|||1||||||||||||E2461FWH|E2461FWH Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||No|||||||||||||Yes|||||
||U3477PQU, 3196571, AOC, LCD Monitor, JR Linton||Yes|Yes|Yes|21:9|LED|AOC|320 cd/m²|USB Hub|CE GOST ISO 9241-307 Ukrain Safety TÜV-GS||1.073 Billion Colors|||80,000,000:1||229.2 mm|||Yes|Yes|||['Screen+', 'Mobile High-Definition Link (MHL)', 'Security Lock', 'e-Saver', 'Eco Mode', 'i-Menu']|||['RoHS', 'EPEAT Silver', 'TCO Certified Displays 6.0', 'ENERGY STAR 6.0']|Yes|Yes|Yes||624.5 mm|||178°|['230 V AC', '120 V AC']|3 Year|AOC|U3477PQU|130 mm|3440 x 1440|Wall Mountable||1||100 mW|70 W|Professional U3477PQU Widescreen LCD Monitor D-Sub cable Power cable HDMI cable Audio cable USB-cable Product CD-ROM Warranty Card on CD-ROM DisplayPort cable|||In-plane Switching (IPS) Technology||||Professional|U3477PQU|Professional U3477PQU Widescreen LCD Monitor||LCD Monitor|||5 ms||"86.4 cm (34"")"||||Yes|60 Hz|300 mW|||||-5°to24°|Yes|USB 3.0|178°|Yes|100 x 100|Yes||10 kg||828 mm|
||K9601651, 2920979, Barco, LCD Monitor, JR Linton||||Yes|4:3||Barco|1650 cd/m²|USB Hub|||1024 Gray Levels (10-bit)|||850:1||114 mm|249 mm|Landscape/Portrait||Yes|||['Uniform Luminance Technology (ULT)', 'Backlight Output Stabilization (BLOS)']||||||||382 mm|532 mm||170°|||Barco|K9601651||1600 x 1200|||1|||65 W||||In-plane Switching (IPS) Technology|PC|||Nio|MDNG-2121|2 MegaPixel Diagnostic Grayscale Display System||LCD Monitor|||23 ms|UXGA|"54.1 cm (21.3"")"|Anti-reflective|||||||||||Yes|USB 2.0|170°|Yes|100 x 100||||12.10 kg|488 mm|488 mm
||9H.LAPLB.QPE, 2819842, BenQ, LCD Monitor, JR Linton||No|No|No|5:4|LED|BenQ|250 cd/m²||||16.7 Million Colours|||1,000:1||178 mm||||Yes|||['Eco Mode', 'Senseye 3', 'Security Lock']|||TCO Certified Displays 6.0|Yes|Yes|||425.5 mm|||170°|['220 V AC', '110 V AC']||BenQ Corporation|9H.LAPLB.QPE||1280 x 1024|Wall Mountable||1|||18 W|||||PC||||BL912|BL912 LCD Monitor||LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"||||No||300 mW||||||||160°|Yes|100 x 100|Yes||3.50 kg||416 mm|
||VS228DE, 2997283, ASUSTeK COMPUTER, LCD Monitor, JR Linton|||||16:9|LED|Asus|200 cd/m²||BSMI CB CCC CE C-Tick EK FCC Gost-R PSB PSE UL/cUL VCCI WHQL|Black|16.7 Million Colours|||50,000,000:1|||200 mm||||||['Game Mode', 'Smart View', 'Security Lock', 'Splendid Video Intelligence Technology']|||['RoHS', 'ErP', 'EPEAT Gold', 'ENERGY STAR 6.0', 'J-Moss (Japanese RoHS)', 'WEEE']|Yes|||||386.30 mm||90°||3 Year|ASUS Computer International|VS228DE||1920 x 1080|Wall Mountable||1||||VS228DE Widescreen LCD Monitor VGA cable Power cord Quick start guide Warranty Card||||PC||||VS228DE|VS228DE Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||75 Hz||||||-5°to20°|||65°|Yes|100 x 100|Yes||3.80 kg|||514.10 mm
||BDL5551EL/00, Philips, LCD Monitor, JR Linton|||||16:9|LED|Philips|450 cd/m²|Speaker|CE FCC Class B UL/cUL CCC C-Tick GOST||1.07 Billion Colors|Yes|Yes|4,000:1||69 mm||Landscape/Portrait|Yes|Yes|||['3D Comb Filter', 'SmartPower', '3D De-interlace', 'Picture in Picture', 'Picture by Picture', 'Picture on Picture']|||RoHS|Yes||Yes|Yes|715.2 mm|||178°|['220 V AC', '110 V AC']|3 Year|Philips Electronics|BDL5551EL/00||1920 x 1024||Yes|1|2||110 W|LED Display AC Power Cord Batteries Quick Start Guide Remote Control User Manual on CD-ROM VGA Cable||1||||||BDL5551EL|LED Display||LCD Monitor|||6.50 ms|Full HD|"139.7 cm (55"")"||||Yes|60 Hz|500 mW||||||Yes||178°|Yes|400 x 400|Yes||30.60 kg||1244.4 mm|
||B5M13AA#ABT, HP, LCD Monitor, JR Linton||Yes|No||16:9|LED|HP|200 cd/m²|Speaker|CE FCC C-Tick VCCI BSMI CB TUV-BAUART TUV-S ISO9241-307 CSA CCC CSC Korea e-standby SEPA|Black|16.77 Million Colors|||600:1||47.8 mm|170 mm|||Yes|||Security Lock|||['EPEAT', 'CECP', 'EPA', 'China Energy Label (CEL)', 'ENERGY STAR', 'REACH']|Yes|Yes|||299 mm|356.60 mm||90°|['220 V AC', '110 V AC']|1 Year|Hewlett-Packard|B5M13AA#ABT||1600 x 900|||1|||26 W|W2072a 20 inch Diagonal LCD Monitor VGA Cable Audio Cable Power Cord||||PC|||Business|W2072a|W2072a 20 inch Diagonal LCD Monitor|Value|LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||Yes|76 Hz|500 mW||||||||50°|||Yes|Yes|3.50 kg||477.3 mm|477.30 mm
||E2260PDA, 2593357, AOC, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|AOC|250 cd/m²|Speaker|CEFCCGOSTTUV-BauartTUV-GSISO 9241-307cTUVus|Black|16.7 Million Colours|||1,000:1|||521.30 mm||No|Yes|||['Security Lock', 'Eco Mode']|||['TCO Displays 5.0', 'EuP', 'EPEAT Gold', 'RoHS', 'ENERGY STAR 5.0']|Yes|Yes|No|Yes||244.60 mm||170°|['220 V AC', '110 V AC']|3 Year|AOC|E2260PDA||1680 x 1050|Wall Mountable||1||340 mW|15.50 W|"e2260Pda 55.8cm (22.0"") LED MonitorPower CableD-Sub CableDVI-D CableAudio CableDriver CDWarranty Card"||1|||||Professional|e2260Pda|"e2260Pda 55.8cm (22.0"") LED Monitor"||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|60 Hz|400 mW||||||||160°|Yes|100 x 100|Yes|||5.65 kg||507.80 mm
||47WV30BS, LG47WV30BS, LG Electronics, LCD Monitor, JR Linton|||||16:9|Direct LED|LG|500 cd/m²|Speaker|ULc-ULCBTUVKCFCCCEKC|Black|16.7 Million Colours|Yes||1,300:1||91.4 mm||Landscape/Portrait||Yes|||['Off Timer', 'Sleep Timer', 'Zoom', 'Video Wall', 'TileMatrix Support', 'Temperature Sensor']|||['ErP', 'ENERGY STAR 5.0']|Yes|Yes|Yes||591.8 mm|||178°|['220 V AC', '110 V AC']||LG Electronics|47WV30BS||1366 x 768||Yes|1|2|500 mW|220 W|Direct LED Super Narrow Bezel DisplayRemoconPower CableRGB CableDVI CableManual (CD)Bolt (16Unit)IR ReceiverGuide Bracket|||In-plane Switching (IPS) Technology|||||47WV30BS|Direct LED Super Narrow Bezel Display||LCD Monitor|||12 ms|WXGA|"119.4 cm (47"")"|Anti-glare|||Yes|60 Hz|||||||Yes||178°|Yes|800 x 400|||28.98 kg||1046.5 mm|
||W2242PM, LGW2242PM, LG Electronics, LCD Monitor, JR Linton|Plug and PlayKensington lock||||16:10||LG|300 cd/m²|Speaker||['Black', 'Silver']|16.7 Million Colours|||8,000:1||50 mm|230 mm|||Yes||||||"[""TCO '03"", 'ENERGY STAR']"|Yes|Yes|||346 mm|530 mm||170°|||LG Electronics|W2242PM||1680 x 1050|Wall Mountable||1|2|||W2242PM Widescreen LCD MonitorPower CordVGA CableDVI CableManualDrivers CD||||PC||||W2242PM|W2242PM Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|50 Hz|||||||||170°|||Yes||4.65 kg||516 mm|516 mm
||60B7HAT1UK, 3092026, Lenovo, LCD Monitor, JR Linton||Yes|Yes||16:9|LED|Lenovo|250 cd/m²||FCC Class B CSA TUV GS VCCI C-Tick BSMI IEC950 NEMKO NOM SABS SASO CCC IC PSB IRAM KCC JEITA cTUVus KC Kvalitet KUCAS SONCAP KEBS BELLIS KONCAR INSM ISC ISO 9241-307 e-Standby (Korea)|Raven Black|16.7 Million Colours|||1,000:1|||177.20 mm|||Yes|||Security Lock|||['EPEAT Gold', 'EPA', 'MEPS', 'CECP', 'ULE Gold', 'TÜV', 'RoHS', 'ENERGY STAR 6.0', 'China Energy Label (CEL)', 'TCO Certified Displays 6.0']|Yes|||||356.30 mm||170°|['110 V AC', '220 V AC']|3 Year|Lenovo Group Limited|60B7HAT1UK||1920 x 1080|||1|||27 W||||Twisted Nematic Film (TN Film)|PC|||ThinkVision|T2220|ThinkVision T2220 21.5-inch WLED Backlit LCD Monitor||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||75 Hz|500 mW||||||||160°|||Yes||4.50 kg|||512.60 mm
||HL273HPB, V320120, Hannspree, LCD Monitor, JR Linton||Yes|||16:9|LED|Hanns.G|250 cd/m²|Speaker||Black|16.7 Million Colours|||50,000,000:1||221 mm|||No|Yes|||Security Lock|||||Yes|Yes||447 mm||83 kHz|160°|||Hannspree, Inc|HL273HPB||1920 x 1080|Wall Mountable||1|||40 W|||||PC||||HL273HPB|HL273HPB Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"68.6 cm (27"")"|Anti-glare|||Yes||500 mW||||||||160°|Yes|100 x 100|Yes||5.22 kg||647.7 mm|
||UM.CB6EE.005, 2716785, Acer, LCD Monitor, JR Linton||Yes|Yes|Yes|5:4|LED|Acer|250 cd/m²|||Dark Grey|16.7 Million Colours|||100,000,000:1||221 mm||||Yes||||||TCO '06|Yes|Yes|||519.2 mm|||170°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.CB6EE.005|150 mm|1280 x 1024|||1||350 mW|15.80 W|B196L LCD Monitor1 x VGA Cable1 x DVI CablePower Cord|||Twisted Nematic Film (TN Film)|||||B196L|B196L LCD Monitor|B|LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"|Anti-glare|||Yes|75 Hz|450 mW||60°|||-5°to35°|||160°|Yes|100 x 100|Yes||2.76 kg|5.33 kg|406.4 mm|
||VA2349S, B921502, ViewSonic, LCD Monitor, JR Linton||Yes|||16:9|LED|Viewsonic|250 cd/m²||CE CB CU serves UkrSEPRO + DoC|||||2,000:1||49.9 mm|213.50 mm|||Yes|||['Security Lock', 'Eco Mode']|||['ENERGY STAR', 'RoHS', 'ErP', 'WEEE', 'EPEAT Silver', 'REACH']|Yes||||339 mm|395.10 mm|82 kHz|178°|['220 V AC', '110 V AC']|2 Year|Viewsonic Corporation|VA2349S||1920 x 1080|Wall Mountable||1|||22 W|VA2349s Widescreen LCD Monitor Power cable D-Sub cable Quick start guide CD-ROM|||In-plane Switching (IPS) Technology|PC||||VA2349s|VA2349s Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|Anti-glare||||75 Hz|||||||||178°|Yes|100 x 100|Yes||3.50 kg|3.90 kg|548.4 mm|548.40 mm
