<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altitudine di funzionamento|altitudine di nonfunzionamento|altoparlante  cuffia  spinotto di uscita|altoparlanti incorporati|altre caratteristiche|altre caratteristiche quantità 1 source datasheet|altre caratteristiche source datasheet|angolo di rotazione|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|angolo visuale|area di visualizzazione effettiva|blocco cavo|bluetooth|cable lock slot type|capacità totale hard disk|cavi inclusi|cavo alimentazione incluso|certificati di sicurezza|certificati di sicurezza certificazione energy star si|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del piede|colore del prodotto|colori del display|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|condizioni ambientali|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connessioni audio|consumi|consumi modalità attivo|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico max|consumo energia modalità economica|contenuto dellimballo cavi inclusi ac vga|controllo del volume|convenienza|dcin jack|design colore del prodotto nero|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni altoparlante centrale l x a x p|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni schermo|dimensioni schermo cm|display surface|dot pitch|dot rate video|famiglia processore|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|ingresso segnale|intel antitheft technology|intel hyperthreading technology|intel identity protection technology|intel my wifi technology|intel rapid start technology|intel small business advantage sba|intel smart connect technology|intel smart response technology|intel turbo boost technology|intel visual technologies|intel vpro technology|intel wireless display technology|interfaccia comune|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità schermo|lunghezza cavo|manuale dellutente|materiale riciclabile|materiali della confezione riciclabili|megapixel|megapixel totali|mhl specification|microfono incorporato|microfono spinotto dingresso|miglioramento dellimmagine|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mouse incluso|mtbf|networking connessione wlan n collegamento ethernet lan n|numero di altoparlanti|numero di core del processore|numero di lingue osd|numero di prodotti inclusi|on screen display osd|performance|peso|peso contenzione inclusa|peso incluso imballo|peso prodotto con supporto|peso schermo con supporto|pictureinpicture|pivot angle|plug  play|porta dvi|posizionamento supportato|potenza in uscita rms|processore|prodotto senza piedistallo kg|profondità|profondità con supporto|profondità imballo|quantità|quantità displayports|quantità porte dvid|quantità porte ethernet lan rj45|quantità porte hdmi|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|ram installata|range di scansione orizzontale|range di umidità di funzionamento|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regulatory approvals|retroilluminazione a led|risoluzione|risoluzione consigliata|risoluzione massima|risoluzioni grafiche supportate|rotazione|schermo srgb|segnale ingresso sincronizz video|sicurezza|sintonizzatore tv integrato|sistema operativo incluso|sistema operativo linux supportato|sistema operativo windows supportato|smartcontrast|smartresponse|source datasheet|specificazioni ambientali|subwoofer incorporato|supporto di memoria|supporto lingue|sync hv separato|syncongreen sog|tecnologia display|tecnologia touch|tempo di risposta|thin client|thin client installato|thin client thin client installato n|thin client thin client installato no|tipi schede di memoria|tipo di prodotto|tipo di ram|tipologia di retroilluminazione|tipologia display|tipologia hd|touch screen|umidità|umidità relativa|uscita audio|velocità processore|voltaggio di ingresso|webcam girevole|wifi
Samsung Samsung S19C450BW LS19C45KBW EN Planet Computer.it||||289.9 mm|423.2 mm|394 mm||||N|||"Dimensioni e peso
Profondità (con supporto) 210 mm
Altezza (con supporto) 423.2 mm
Larghezza (con supporto) 439.4 mm
Larghezza imballo 529 mm
Altezza imballo 394 mm
Profondità imballo 187 mm
Peso prodotto con supporto 4.25 kg
Profondità 54.8 mm
Larghezza 439.4 mm
Altezza 289.9 mm
Peso incluso imballo 5.5 kg
Peso 2.75 kg"||170 °|160 °|||||||||||TCO|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||"Intervallo temperatura di funzionamento 10 - 40 °C
Range di umidità di funzionamento 10 - 80 %"||Oro||||19 W||||0.1 W|||||||||408.24 mm|255.15 mm|||||48.26 cm|||0.2835 x 0.2835 mm|||16:10|N|50/60 Hz||||||||N||-3 - 25 °|||||||||||||||||||||||10 - 40 °C|439.4 mm|439.4 mm|529 mm||||250 cd/m²|||||||||||||Si||||||||||2.75 kg||5.5 kg|4.25 kg||||||||||54.8 mm|210 mm|187 mm||||||||1|||10 - 80 %|1000:1|Contrasto Mega||||1440 x 900 Pixels|||1440 x 900 (WXGA+)|||||N||||||.|||||||TN+Film||5 ms||N|||||||LED|N||||||100 - 240 V||
Philips Philips 17S4LSB S-line 17  43.2 cm 1280 x 1024 LCD monitor, LED backlight 17S4LSB 00 Planet Computer.it|||Incorporata 100-240 V CA, 50/60 Hz||||||||||||||170º / 160º|337.92 x 270.33 mm|||||||||||||||||||||||||||||11.9 W|||||8 W (tip).|||blocco Kensington Montaggio VESA (100 x 100 mm) SmartImage Luminosità SmartPower Menu Accensione/spegnimento||||||367 x 319 x 65 mm|450 x 446 x 160 mm||367 x 393 x 194 mm|||||||||||||||||||||||||DVI-D (digitale, HDCP) VGA (analogico)||||||||||||||||||||||||||||100 %||||||SmartImage||||||||||||||4.94 kg (10.9 lbs)|||3.54 kg (7.8 lbs)||||||||3.14 kg (6.92 lbs)||||||||||||||||||BSMI marchio CE cETLus FCC Class B GOST SASO SEMKO TCO 6 TUV Ergo TUV/GS WEEE|||1280 x 1024 a 60 Hz|||||Sincronizzazione separata Sync su verde||||||20.000.000:1||.|EnergyStar 6.0 EPEAT Gold* RoHS|||Portoghese brasiliano Cecoslovacco Olandese Italiano Finlandese Francese Tedesco Greco Ungherese Italiano Giapponese Coreano Polacco Portoghese Russo Cinese semplificato Spagnolo Svedese Cinese tradizionale Turco Ucraino|||||||||||||||||||||||
Philips Philips 240S4LPSB 00 240S4LPSB 00 Planet Computer.it||||388 mm|470 mm|526 mm|0 - 3658 m|||N|||||160 °|160 °||518.4 x 324 mm|Kensington|N|||||||RoHS|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N||Si|"Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 3658 m"||Oro||N||19 W||13.4 W|0.1 W|0.2 W|19 W||||||||518.4 mm|324 mm||607 x 526 x 168 mm||555 x 470 x 224 mm|61 cm|||0.270 x 0.270 mm|||16:10|N|50/60 Hz||||||||Si||-5 - 20 °|Si|Si|Si||||||||||||||||||48 - 85 Hz|-20 - 60 °C|0 - 40 °C|555 mm|555 mm|607 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30.000 h||||8||Si||3.95 kg||7.05 kg|4.85 kg||||||||||65 mm|224 mm|168 mm|||1|||||1||24 - 94 kHz|20 - 80 %|1000:1|20000000:1|N|||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)||Si||||||Si|||.|||||Si|Si|||5 ms||N|"Altre caratteristiche
Source data-sheet .
Dimensioni (LxPxA) con base 555 x 470 x 224 mm
Dimensioni imballo (LxPxA) 607 x 526 x 168 mm
Area di visualizzazione effettiva 518.4 x 324 mm"|||||W-LED|LCD|Full HD||||||100 - 240 V||
Philips Philips 227E4LHAB Display Full HD E-line da 54,6 cm  21,5   Monitor LCD||||314 mm|398 mm|475 mm|0 - 3658 m|0 - 12192 m|1|Si|||||176 °|170 °|||Kensington||||||||BSMI, CE, FCC, GOST, PSB, SASO, SEMKO, TCO 5.2, TUV/ISO9241-307, UL/cUL, WEEE|Si|Non specificato||||Nero|16.77 M|||||||RoHS|Argento||||17.2 W|||0.3 W|0.5 W|||||||"Condizioni ambientali
Altitudine di non-funzionamento 0 - 12192 m
Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Altitudine di funzionamento 0 - 3658 m"||476.6 mm|268.1 mm|||||54.6 cm||Lucida|0.248 x 0.248 mm|||16:9|N|50/60 Hz|||||||||Si|-5 - 20 °|Si|Si|Si||Si|||||||||||||||Si||-20 - 60 °C|0 - 40 °C|510 mm|510 mm|562 mm||N|CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR|250 cd/m²||||||||N||||1080p|||30000 h||2||9|1 pezzi|Si||1.83 kg||3.74 kg|2.2 kg||||Si|N||4 W|||37 mm|179 mm|98 mm|||||1|||1||||1000:1|20000000:1|N|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||Si|||N||||||.||N|||Si|Si|||5 ms||N|"Altre caratteristiche
Source data-sheet .
HDMI Si
Numero di prodotti inclusi 1 pezzi
Alimentazione USB N
Collegamenti wireless N"||N|||W-LED|LED|Full HD|||20 - 80 %|||100 - 240 V||
Aoc AOC e2270Swn E2270SWN Planet Computer.it|Si|||374.5 mm||||||N|||||90 °|65 °|||Kensington||||AC, VGA||||CE, FCC, GOST, RoHS, TÜV-GS, ISO 9241-307, EuP, NRTL|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Argento||||14.8 W|||0.3 W|0.5 W|||"Multimedia
Sintonizzatore TV integrato N
Altoparlanti incorporati N
Fotocamera integrata N"||||||477.5 mm|268.5 mm|||||54.6 cm|||0.248 x 0.248 mm|||16:9|N|50/60 Hz|||||N|||N||-5 - 15 °|Si|Si||||||||||||||||||Si|55 - 75 Hz|||503.4 mm|||Si|||200 cd/m²|||||||||||||Si||||||16||Si||2.7 kg||3.45 kg||||||N|||||176 mm||||||||||1||30 - 60 kHz||700:1|20000000:1|N|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N||||N||||||.|||||||||5 ms|Thin client installato N|N|||||||LED|Full HD||||||90 - 240 V||
Lenovo Lenovo ThinkVision LT2223z 60A2MAT2IT Planet Computer.it|Si||||||||||||||170 °|160 °||||||||||||||||||16.77 M|||N||||||||||||||||||||||||||||"546.1 mm (21.5 "")"|||0.248 x 0.248 mm|||16:9||||||||||||||||Si||||||||||||||||||||||||||250 cd/m²|||||||||||||||||||||||||||||||N|||||||||1|||1||2|1||||1000:1|2000000:1||||1920 x 1080 Pixels|||640 x 350, 720 x 400, 832 x 624, 1376 x 768, 1440 x 900, 1600 x 900, 1024 x 768 (XGA), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)||||||||||||||||||TN+Film||5 ms||||||||W-LED|LCD|Full HD||||Si||||
Lenovo Lenovo ThinkVision E2223s 60AFHAT1IT Planet Computer.it||||||||||N|||"Thin Client
Thin client installato N"||||||||||||||RoHS|Si|Non specificato||||Nero|16.77 M|||N|||||Argento|||||||||||||||||||||||"546.1 mm (21.5 "")"||||||16:9|N|||||||||||-5 - 22 °|Si|Si|||||||||||||||||||||||||Si|||200 cd/m²|||||||||||||||||||8||Si|Sistema operativo Windows supportato Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64|3.41 kg||||||||Si|||||||||||||||1||||600:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64|||.|||||||||5 ms||N||||||W-LED|LCD|Full HD||||||||
Philips Philips 220S4LCB 220S4LCB 00 Planet Computer.it||||349 mm|509 mm|391 mm|0 - 3658 m|||N||||-65 - 65 °|170 °|160 °|||Kensington||||||||RoHS|Si|||||Nero|16.77 M||100 x 100 mm|N||||BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE|Oro||||15.7 W||12.6 W|0.1 W|0.1 W|||||||||473.76 mm|296.1 mm|||||55.9 cm|||0.282 x 0.282 mm|||16:10|N|50/60 Hz||||||||Si||-5 - 20 °||Si|||||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|504 mm|504 mm|565 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²||||||||||SmartImage|||Si||30000 h||||8||Si||3.38 kg||7.05 kg|5.2 kg|||0 - 90 °|Si||||||59 mm|227 mm|186 mm|||1|||||1||30 - 83 kHz||1000:1|20000000:1|['110 mm', 'Si']|||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|Si|Si|||N||||||.|||||Si|Si|||5 ms||N|"Altre caratteristiche
Source data-sheet .
Miglioramento dell'immagine SmartImage"|||||W-LED|LCD|N|||20 - 80 %|||100 - 240 V||
Aoc AOC i2276Vw I2276VW Planet Computer.it|Si||||40,16 cm|||||No|||||178°|178°|||Kensington|Si|||||||CE, cTUVus, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-Bauart, Ukrain Safety|Si|Non specificato|No|||Nero|16,77M||100 x 100 mm|No|||||Argento||||25W|||0,5W|0,5W|||||||"Connettività
Porta DVI Si
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
AC (power) in Si"||47,664 cm|26,811 cm|||||"54,61 cm (21.5"")"|54,6 cm||0,248 x 0,248 mm|||16:9||50/60 Hz|||||No|||Si||-5 - 24°|Si|Si|Si|||||||||||||||||Si|50 - 76 Hz||||51,28 cm||Si|||250 cd/m²||||||||||||1080p|Si||||||||Si||||4,32 kg|3,16 kg||||Si|Si||||||13,05 cm||||1|||||1||30 - 83 kHz||1000:1|50000000:1|No|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No|||||||||||||||||||6 ms|Thin client installato No|No|||||||LED|Full HD||||||100 - 240V||No
Philips Philips C271P4QPJEW C271P4QPJEW 00 Planet Computer.it|Si|||405 mm|577 mm|234 mm|0 - 3658 m|0 - 12192 m|1|Si||||-65 - 65 °|178 °|178 °||597.6 x 336.15 mm|Kensington|N|||||||JIS Z2801, TUV Ergo, TUV/GS, TCO 6.0, WEEE, RoHS|Si|Non specificato|N||Bianco|Nero|16.77 M||100 x 100 mm||IEC/EN60601-1-2, CE|Si|"Altitudine di non-funzionamento 0 - 12192 m
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 3658 m"||Oro||||26 W|26 W|||0.4 W||||||||686 mm|597.6 mm|336.15 mm||750 x 490 x 234 mm|||68.6 cm|||0.311 x 0.311 mm|||16:9|N|50/60 Hz|30 - 83 kHz|56 - 75 Hz|||N|||Si||-5 - 20 °|Si|Si|Si||Si|||||||||||||||Si||-20 - 60 °C|0 - 40 °C|639 mm|639 mm|750 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|300 cd/m²|||||||||||||Si||30000 h||2||8||Si||5.1 kg||10.35 kg|7.9 kg||N|0 - 90 °|Si|Si||4 W|||64 mm|191 mm|490 mm||1|1||1|4||1|||20 - 80 %|5000:1||['150 mm', 'Si']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|Si||IEC/EN60601-1, CE, GOST|N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|||.|||||Si|Si|A-MVA||12 ms||N||||||W-LED|LED|Full HD||||||100 - 240 V||
Samsung Samsung S22C450MW LS22C45KMWV EN Planet Computer.it||||329.8 mm|453.5 mm|188 mm||||Si||||-45 - 45 °|170 °|160 °||473.7 x 296.1 mm|||||Audio (3.5mm), DVI, VGA||||TCO, UL, CSA, TUV, GB, IEC|Si|||||Nero|16.77 M||100 x 100 mm|N|FCC, ACE, KCC, CCC, GB||||Oro||||24 W||||0.1 W|||||||"Condizioni ambientali
Intervallo temperatura di funzionamento 10 - 40 °C
Range di umidità di funzionamento 10 - 80 %"||||||||"558.8 mm (22 "")"|||0.282 x 0.282 mm|||16:10|N|50/60 Hz|||||Si|Si||N||-3 - 25 °|Si|Si||Si|||||||||||||||||||10 - 40 °C|502.4 mm|502.4 mm|578 mm|Si|||250 cd/m²||Si|||||||||||Si||||2||||||3.5 kg||6.4 kg|5 kg|||-1 - 95 °||||2 W|||55.5 mm|210 mm|416 mm|||1|||||1|||10 - 80 %|1000:1|Contrasto Mega|['100 mm', 'Si']|||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|Si||||N||||||.|||||||TN+Film||5 ms||N|"Altre caratteristiche
Source data-sheet .
Area di visualizzazione effettiva 473.7 x 296.1 mm"||||||LED|N||||Si||100 - 240 V||
Philips Philips 247E4LHAB 247E4LHAB 00 Planet Computer.it||||348 mm|434 mm|505 mm|||||||||178 °|170 °||||||||||||||||||16.77 M|||||||||||||||||||||||||521.28 mm|293.22 mm|||||60 cm|||0.272 x 0.272 mm|||16:9|||||||||||||||||||||||||||||||||56 - 75 Hz|||557 mm|557 mm|605 mm||||250 cd/m²|||||||||||||||||||||||3.16 kg||560 g|3.44 kg||||||||||39 mm|193 mm|104 mm||||||||||30 - 83 kHz||1000:1|20000000:1||||1920 x 1080 Pixels|||||Si||||||||||||||Si|Si|LCD/TFT||5 ms||||||||W-LED|LED|Full HD||||||||
Aoc AOC i2769Vm I2769VM Planet Computer.it|||||449 mm|||||Si|||||178 °|178 °|||Kensington||||AC, Audio (3.5mm), HDMI, VGA||||TÜV-Bauart, ISO 9241-307, CE, FCC, GOST, TCO 5.0, RoHS, EuP, Energy Star 6, NRTL|Si|Non specificato||||Bianco|16.77 M||N|N|||||||||35 W|||0.5 W|0.5 W|||||||||597.89 mm|336.31 mm|||||68.6 cm|||0.311 x 0.311 mm|||16:9|N|50/60 Hz|30 - 83 kHz|55 - 75 Hz|||N||||Si|||Si|||||||||||||||||||||||622 mm||Si|||250 cd/m²||Si|||||||||||N|||||||1 pezzi|Si||||7.25 kg|4.99 kg|||||N|Orizzontale|||||130 mm|||1|||2|||1||||1000:1|50000000:1|N|||1920 x 1080 Pixels||||N||||N||||||.||N|||||||5 ms|Thin client installato N|N|||||||LED|Full HD||||||90 - 240 V||
Lg Electronics LG 22MP55HQ-P 22MP55HQ-P.AEU Planet Computer.it||Si||31,2 cm|41,6 cm||||1|No|Source data-sheet||||178°|178°|||No||||AC||||||Non specificato||||Nero|16,77M||75 x 75 mm|No|||||||||20W||0,3W|0,3W|||||||Si|||||||||"54,61 cm (21.5"")"|||0,24795 x 0,24795 mm|||16:9|No|50/60 Hz||||||Si||Si||5 - 20°|Si||||||||||||||||||||56 - 75 Hz|||58 cm|50,8 cm|||||250 cd/m²||Si|||||||||||Si||||||||||2,5 kg|||2,8 kg||||Si|No|||||6 cm|18,8 cm||||||1|||1||30 - 83 kHz|||5000000:1|No|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||No|||||||||||||IPS||5 ms|||||||||LED|Full HD||||||100 - 240V||
Lenovo Lenovo ThinkVision LT1953 T45HNIT Planet Computer.it|Si|||353.98 mm|||0 - 2438 m|0 - 12192 m||N|||||170 °|160 °|||Kensington||||||||RoHS, UL, IEC, NEMKO, TUV-GS, CCC, BSMI, NOM, ICCP, GOST, SISIR, ISC, JEITA, KS, FCC, IC, CE, VCCI|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Oro||||17 W|||05 W|0.5 W|20 W||||||"Condizioni ambientali
Altitudine di non-funzionamento 0 - 12192 m
Umidità 5 - 95 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 10 - 80 %
Altitudine di funzionamento 0 - 2438 m"||408 mm|255 mm|||||"482.6 mm (19 "")"|||0.2835 x 0.2835 mm|||16:10|N|50/60 Hz||||||||Si||-5 - 22 °|Si|Si||||||||||||||||||Si||-20 - 60 °C|0 - 40 °C|443 mm||510 mm|Si|||250 cd/m²|||||||||||||Si||||||8|1 pezzi|Si||3 kg||4.93 kg|||||||||||50.5 mm||160 mm|||1|||||1|||10 - 80 %|1000:1|10000000:1|N|||1440 x 900 Pixels|||640 x 350, 720 x 400, 832 x 624, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)|||||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|||.|||||Si||TN+Film||5 ms||N|"Altre caratteristiche
Source data-sheet .
Numero di prodotti inclusi 1 pezzi"||||||LCD|||5 - 95 %||||96 - 264 V||
Philips Philips Brilliance C240P4QPYEW C240P4QPYEW 00 Planet Computer.it||||388 mm|550 mm|457 mm|0 - 3658 m|0 - 12192 m||Si|||"Thin Client
Thin client installato N"|-65 - 65 °|178 °|178 °|||Kensington||||||||EC/EN60601-1-2, CE JIS Z2801, TUV/GS, TUV Ergo, TCO 6.0|Si|Non specificato|N|||Bianco|16.77 M||100 x 100 mm|N|||||Oro||N||17.4 W||||0.4 W|||||||||518.4 mm|324 mm|||||61 cm|||0.270 x 0.270 mm|||16:10|N|50/60 Hz|||||Si|Si||Si||-5 - 20 °|Si|Si|Si|||||||||||||||||Si|48 - 85 Hz|-20 - 60 °C|0 - 40 °C|555 mm|555 mm|632 mm|Si|||300 cd/m²||Si|||||||||||Si||30000 h||2||||Si||4.64 kg||9.8 kg|6.97 kg|||0 - 90 °|Si|Si||4 W|||65 mm|244 mm|286 mm||1|1|||4||1||24 - 94 kHz|20 - 80 %|1000:1||['130 mm', 'Si']|||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)|Si|Si||RoHS, WEEE, EC/EN60601-1, CE, GOST|N|||Si|||.|||||Si|Si|IPS||14 ms||N||||||W-LED|LED|||10 - 80 %||||100 - 240 V||
Philips Philips 240P4QPYES 240P4QPYES 00 Planet Computer.it|Si|||388 mm|550 mm|457 mm|0 - 3658 m|0 - 12192 m|1|Si||||-65 - 65 °|178 °|178 °||518.4 x 324 mm|Kensington|N|||||||RoHS, BSMI, CE, FCC B, GOST, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE|Si|Non specificato|N||Nero|Argento|16.77 M||100 x 100 mm|N|||"Altitudine di non-funzionamento 0 - 12192 m
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 3658 m"||Oro||N||7.1 W||14 W||0.2 W||||Digitale||||610 mm|518.4 mm|324 mm||632 x 286 x 457 mm||555 x 244 x 550 mm|61 cm|||0.270 x 0.270 mm|||16:10|N|50/60 Hz|24 - 94 kHz|48 - 85 Hz|||Si|||Si||-5 - 20 °|Si|Si|Si||Si|||||||||||||||Si||-20 - 60 °C|0 - 40 °C|555 mm|555 mm|632 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|300 cd/m²|||25 %|||||||SmartImage|||Si||30000 h||2||8||Si||4.64 kg||9.8 kg|6.97 kg||N|0 - 90 °|Si|Si||3 W|||65 mm|244 mm|286 mm||1|1|||4||1|||20 - 80 %|1000:1|20000000:1|['130 mm', 'Si']|||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)|Si|Si|||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|||.||N|||Si|Si|IPS||14 ms||N||||||W-LED|LED|Full HD||||||100 - 240 V||
Philips Philips 246V5LHAB 246V5LHAB 00 Planet Computer.it|Si|||354 mm|435 mm|446 mm|0 - 3658 m|0 - 12192 m|1|Si|||"Thin Client
Thin client installato N"||170 °|160 °|||Kensington|N|||AC||||BSMI, CE Mark, cETLus, FCC B, GOST, PSB, SASO, SEMKO, TCO, TUV/ISO9241-307, WEEE|Si|Non specificato|N|||Nero|16.77 M||100 x 100 mm|N|||||Argento|3.5 mm|N||21.75 W|||0.5 W|0.3 W|||||||"Dimensioni e peso
Profondità 63 mm
Larghezza 565 mm
Altezza 354 mm
Peso incluso imballo 6.05 kg
Peso 4.22 kg
Peso prodotto con supporto 4.65 kg
Profondità imballo 131 mm
Altezza imballo 446 mm
Larghezza imballo 613 mm
Larghezza (con supporto) 565 mm
Altezza (con supporto) 435 mm
Profondità (con supporto) 238 mm"||531.36 mm|298.89 mm|||||61 cm|||0.277 x 0.277 mm|||16:9|N|50/60 Hz||||||Si||Si||-5 - 20 °|Si|Si|Si||Si|||||||||||||||Si|56 - 75 Hz|-20 - 60 °C|0 - 40 °C|565 mm|565 mm|613 mm|Si|||250 cd/m²||Si||||||||||1080p|Si||30000 h||2||||Si||4.22 kg||6.05 kg|4.65 kg||||Si|N||4 W|||63 mm|238 mm|131 mm|||||1|||1||30 - 83 kHz|20 - 80 %|1000:1|10000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||Si||RoHS|N||Si|Si|||.|||||Si|Si|||5 ms||N||||||W-LED|LED|Full HD||||||100 - 240 V||
Philips Philips 242G5DJEB 242G5DJEB 00 Planet Computer.it||||35,4 cm|51,7 cm|42,2 cm|0 - 3658m|0 - 12192m||No|||"Thin Client
Thin client installato No"|-65 - 65°|170°|160°|||Kensington||||||||BSMI, CE, FCC B, GOST, PSB, SASO, SEMKO, TCO, TUV Ergo, TUV/GS, cETLus|Si|Non specificato|No|||Nero|16,77M||100 x 100 mm|No|||||Argento||No||18,58W|||0,3W|0,5W|||||||"Multimedia
Sintonizzatore TV integrato No
Altoparlanti incorporati No
Fotocamera integrata No"||53,136 cm|29,889 cm|||||61 cm|||0,277 x 0,277 mm|||16:9|No|50/60 Hz|||||Si|Si||Si||-5 - 20°|Si|Si|Si||||||||||||||||||56 - 120 Hz|-20 - 60 °C|0 - 40 °C|56,5 cm|56,5 cm|63,1 cm|Si|||350 cd/m²||Si|||||||||Si|1080p|Si||30000h||||||Si||4,13 kg||8,84 kg|6,27 kg|||0 - 90°|Si|Si|||||6,3 cm|22 cm|28,7 cm||1|1||1||4|1||30 - 140 kHz|20 - 80%|1000:1|20000000:1|['13 cm', 'Si']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|Si||RoHS, WEEE|No||Si|Si||||||||Si|Si|TN+Film||5 ms||No||||||W-LED|LED|Full HD||10 - 80%||||100 - 240V||
